k,n,unresolved,clusters,excess_p,se_p,t,excess_gross_R,se_gross_R,ci_low_R,ci_high_R,mde_gross_R,p_arm,p_mirror,pct_long,label,cost_floor_R,beats_cost,multiple_of_cost,exec_tf,symbol,half,mechanism,cap
2.0,28470,758,353,0.004513523006673691,0.0032499944158345772,1.3887786959518968,0.013540569020021074,0.009749983247503731,-0.0055693981450862405,0.032650536185128386,0.027299953093010445,0.35226554267650156,0.3477520196698279,0.5016859852476291,symbol=SOLUSD,0.2033817135332048,False,0.06657712133893687,,SOLUSD,,,
4.0,28422,806,353,-0.00012314404334670326,0.0029443516100297476,-0.041823823937066774,-0.0006157202167335163,0.014721758050148737,-0.02947036599502504,0.028238925561558006,0.04122092254041647,0.21954823728097952,0.21967138132432623,0.5017943846316234,symbol=SOLUSD,0.2033817135332048,False,-0.0030274118849578464,,SOLUSD,,,
0.5,29511,810,354,0.01843380434414286,0.002702743060178099,6.820405763220479,0.02765070651621429,0.004054114590267149,0.01970464191929068,0.0355967711131379,0.011351520852748015,0.661414387855376,0.6429805835112331,0.5020500830198908,symbol=XRPUSD,0.22405742269150264,False,0.12340901802787246,,XRPUSD,,,
1.0,29497,824,354,0.007509238227616368,0.003200625358519471,2.346178445292939,0.015018476455232736,0.006401250717038942,0.0024720250498364103,0.027564927860629064,0.017923502007709036,0.5042207682137166,0.4967115299861003,0.5020171542868767,symbol=XRPUSD,0.22405742269150264,False,0.06702958676763496,,XRPUSD,,,
2.0,29462,859,354,-0.0021383477021247707,0.0031555627994600648,-0.6776438429590609,-0.006415043106374313,0.009466688398380194,-0.02496975236719949,0.012139666154450869,0.02650672751546454,0.33921661801642794,0.3413549657185527,0.5020365216210713,symbol=XRPUSD,0.22405742269150264,False,-0.028631245639234977,,XRPUSD,,,
4.0,29428,893,354,-0.006082642381405465,0.0027526278143887744,-2.209758380559024,-0.030413211907027324,0.013763139071943872,-0.057388964488037306,-0.003437459326017336,0.03853678940144284,0.20647002854424357,0.21255267092564903,0.5022087807530243,symbol=XRPUSD,0.22405742269150264,False,-0.13573847070847675,,XRPUSD,,,
0.5,58373,1194,708,0.02373528857519744,0.001956125833011406,12.13382502017141,0.03560293286279616,0.002934188749517109,0.029851922913742623,0.04135394281184969,0.008215728498647903,0.6706353965018074,0.6469001079266099,0.5035375944357837,TRAIN-H1,0.23796274348685775,False,0.14961557570360776,,,H1,,
1.0,58373,1194,708,0.013739228753019375,0.0022959200062157444,5.984193140798965,0.02747845750603875,0.004591840012431489,0.018478451081673033,0.036478463930404464,0.012857152034808169,0.5142959930104671,0.5005567642574478,0.5035375944357837,TRAIN-H1,0.23796274348685775,False,0.11547378006909025,,,H1,,
2.0,58373,1194,708,0.008163020574580713,0.002285045213418812,3.572367201595745,0.02448906172374214,0.0068551356402564365,0.011052995868839524,0.037925127578644746,0.019194379792718017,0.3550271529645555,0.3468641323899748,0.5035375944357837,TRAIN-H1,0.23796274348685775,False,0.10291132706282076,,,H1,,
4.0,58371,1196,708,0.0015247297459354816,0.002040694431884943,0.7471622022936198,0.007623648729677408,0.010203472159424716,-0.012375156702795036,0.027622454162149854,0.028569722046389204,0.21860170290041286,0.21707697315447738,0.5035548474413665,TRAIN-H1,0.23796274348685775,False,0.03203715261460014,,,H1,,
0.5,59138,1407,711,0.018279278974601777,0.0018622408949465288,9.815743507837979,0.027418918461902666,0.0027933613424197933,0.02194393023075987,0.03289390669304546,0.00782141175877542,0.6614697825425276,0.6431905035679258,0.5019615137475059,TRAIN-H2,0.2767643122676582,False,0.09906955935628683,,,H2,,
1.0,59053,1492,710,0.005749072866746821,0.002198105401350705,2.6154673307358673,0.011498145733493642,0.00439621080270141,0.0028815725601988793,0.020114718906788405,0.012309390247563947,0.5055797334597735,0.4998306605930266,0.5019389362098454,TRAIN-H2,0.2767643122676582,False,0.04154490020510235,,,H2,,
