label,trades,effective_n,deff,win_rate,avg_r,median_r,gross_r,cost_r,funding_r,profit_factor,sharpe,sortino,max_dd_r,ci_low,ci_high,t_boot,t_adj,hold_mean,hold_median,mfe_r,mae_r,ambiguous_pct,pct_target,pct_stop,pct_time,k,retest,exec_model,fill_model,signals,invalidated,expired,skipped
k=2.5 rt=0.5 maker/maker+delay conservative,2981,2304.7,1.29,0.5632,-0.0464,0.7326,0.1529,0.1982,0.0011,0.91,-5.368,-16.089,144.27,-0.0827,-0.009,-2.468,-2.17,2.44,2.0,1.133,0.893,1.5,53.7,38.5,7.8,2.5,0.5,maker/maker+delay,conservative,6090,0,2264,845
k=3.0 rt=0.25 maker/maker optimistic,2690,1765.2,1.52,0.5234,-0.0141,0.1143,0.1101,0.123,0.00115,0.968,-1.463,-3.393,69.92,-0.0485,0.0222,-0.782,-0.634,3.8,3.0,0.883,0.728,0.1,43.2,31.3,25.6,3.0,0.25,maker/maker,optimistic,3498,0,681,127
k=3.0 rt=0.25 maker/maker conservative,2682,1753.6,1.53,0.5201,-0.019,0.0965,0.1054,0.1232,0.00121,0.957,-1.967,-4.553,72.59,-0.0545,0.0164,-1.038,-0.839,3.81,3.0,0.88,0.731,0.1,42.9,31.4,25.7,3.0,0.25,maker/maker,conservative,3500,0,691,127
k=3.0 rt=0.25 maker/taker optimistic,2690,1741.3,1.54,0.5234,-0.0533,0.1143,0.1101,0.1623,0.00115,0.878,-5.774,-12.85,149.46,-0.0865,-0.0183,-3.044,-2.449,3.8,3.0,0.883,0.728,0.1,43.2,31.3,25.6,3.0,0.25,maker/taker,optimistic,3498,0,681,127
k=3.0 rt=0.25 maker/taker conservative,2682,1730.2,1.55,0.5201,-0.0578,0.0965,0.1054,0.1621,0.00121,0.868,-6.26,-13.898,161.19,-0.0925,-0.023,-3.25,-2.61,3.81,3.0,0.88,0.731,0.1,42.9,31.4,25.7,3.0,0.25,maker/taker,conservative,3500,0,691,127
k=3.0 rt=0.25 taker/taker optimistic,2681,1845.3,1.45,0.5834,0.0117,0.2862,0.305,0.2924,0.00095,1.034,1.395,2.053,61.83,-0.0201,0.0441,0.715,0.593,3.61,3.0,1.204,0.608,0.1,50.4,18.9,30.7,3.0,0.25,taker/taker,optimistic,3493,0,688,124
k=3.0 rt=0.25 maker/maker+delay optimistic,2314,1627.0,1.42,0.4961,-0.0583,-0.015,0.068,0.1249,0.00143,0.87,-5.981,-13.223,144.02,-0.0948,-0.0213,-3.121,-2.617,4.04,4.0,0.819,0.761,0.0,39.4,31.6,29.0,3.0,0.25,maker/maker+delay,optimistic,3558,0,900,344
k=3.0 rt=0.25 maker/maker+delay conservative,2306,1617.9,1.43,0.4939,-0.0616,-0.0259,0.0648,0.125,0.00141,0.863,-6.318,-13.953,149.01,-0.0967,-0.0258,-3.339,-2.797,4.04,4.0,0.817,0.764,0.0,39.2,31.7,29.1,3.0,0.25,maker/maker+delay,conservative,3558,0,908,344
k=3.0 rt=0.33 maker/maker optimistic,2473,1695.7,1.46,0.5265,-0.0187,0.2279,0.1184,0.1358,0.00126,0.959,-1.967,-4.746,89.22,-0.0562,0.0208,-0.971,-0.804,3.47,3.0,0.946,0.766,0.3,46.0,33.8,20.1,3.0,0.33,maker/maker,optimistic,3550,0,918,159
k=3.0 rt=0.33 maker/maker conservative,2466,1676.3,1.47,0.5243,-0.0214,0.2134,0.1156,0.1359,0.00118,0.953,-2.256,-5.424,92.67,-0.0606,0.0159,-1.11,-0.915,3.47,3.0,0.943,0.77,0.3,45.9,33.9,20.2,3.0,0.33,maker/maker,conservative,3553,0,926,161
k=3.0 rt=0.33 maker/taker optimistic,2473,1672.8,1.48,0.5265,-0.0666,0.2165,0.1184,0.1838,0.00126,0.855,-7.353,-16.927,173.41,-0.1028,-0.0281,-3.58,-2.944,3.47,3.0,0.946,0.766,0.3,46.0,33.8,20.1,3.0,0.33,maker/taker,optimistic,3550,0,918,159
k=3.0 rt=0.33 maker/taker conservative,2466,1652.8,1.49,0.5243,-0.0691,0.211,0.1156,0.1835,0.00118,0.85,-7.616,-17.481,178.96,-0.1069,-0.0336,-3.698,-3.027,3.47,3.0,0.943,0.77,0.3,45.9,33.9,20.2,3.0,0.33,maker/taker,conservative,3553,0,926,161
k=3.0 rt=0.33 taker/taker optimistic,2475,1771.5,1.4,0.604,0.0287,0.3771,0.3547,0.325,0.00103,1.082,3.515,5.118,59.56,-0.0088,0.0632,1.569,1.327,3.25,3.0,1.321,0.607,0.2,55.8,19.0,25.2,3.0,0.33,taker/taker,optimistic,3558,0,924,159
k=3.0 rt=0.33 maker/maker+delay optimistic,2153,1641.5,1.31,0.5123,-0.056,0.0532,0.0827,0.1373,0.00135,0.881,-5.781,-13.981,135.79,-0.0935,-0.0165,-2.865,-2.502,3.7,3.0,0.886,0.795,0.1,42.8,34.2,23.0,3.0,0.33,maker/maker+delay,optimistic,3597,0,1087,357
