trades,effective_n,deff,gross_expectancy,net_expectancy,fee_R,slippage_R,funding_R,cost_per_R,win_rate,profit_factor,median_stop_pct,median_hold_min,pct_target,median_concurrency,max_concurrency,candidate_id,mechanism,exec_tf,pair,cb_gross,cb_net,cb_trades,cb_seed_sd,excess_gross_cb,excess_net_cb
3745,1961.5,1.909,0.04699599465954606,-0.28684167265588945,0.2486360179665822,0.08428339592087532,0.0009182534279779225,0.3338376673154355,0.34873164218958613,0.67,0.6052654596343917,97.0,34.89986648865154,0.0,3.0,M5|5m|20/50,M5,5,20/50,0.018934519552012266,-0.6027350124177208,13735.0,0.0667880651958224,0.028061475107533797,0.3158933397618313
2462,1849.2,1.331,0.052802599512591364,-0.27903325747037144,0.24693302316666463,0.08370610954802189,0.0011967242682763086,0.3318358569829628,0.3448415922014622,0.684,0.8778069194027179,201.0,35.093419983753044,1.0,7.0,M1|5m|50/200,M1,5,50/200,0.0326393275313059,-0.5656012979427956,6464.0,0.15313037129463608,0.020163271981285466,0.2865680404724241
2382,1813.2,1.314,0.05289672544080603,-0.2789206182601301,0.24699124704259404,0.08372584645511662,0.0011002502032254405,0.33181734370093613,0.3446683459277918,0.684,0.8879382150470593,209.0,35.09655751469353,1.0,7.0,M2|5m|50/200|s0.00,M2,5,50/200,0.04995234066906151,-0.4545719894432323,6409.0,0.16811004289787107,0.002944384771744517,0.1756513711831022
12,12.0,1.0,0.25,0.13305618552562581,0.08331660233256143,0.028242916044936076,0.005384296096876669,0.11694381447437417,0.4166666666666667,1.206,1.957119244496569,866.0,41.66666666666667,0.0,0.0,M2|5m|50/200|s0.25,M2,5,50/200,0.13636363636363638,-0.16058919777383787,58.0,0.13407363051502222,0.11363636363636362,0.29364538329946366
0,,,,,,,,,,,,,,,,M2|5m|50/200|s0.50,M2,5,50/200,,,,,,
303,273.0,1.11,0.1188118811881188,-0.08385583323075353,0.1499890265518641,0.05084373781419122,0.0018349500528170167,0.20266771441887235,0.3696369636963696,0.89,1.478961021460089,253.0,37.29372937293729,0.0,2.0,M3|5m|50/200|v1.2,M3,5,50/200,0.08638818036829245,-0.3414294546035487,1287.0,0.17165178898502462,0.03242370081982636,0.25757362137279516
77,72.2,1.067,0.36363636363636365,0.24709682874896535,0.08213064717198583,0.027840897346435873,0.006567990368976591,0.1165395348873983,0.45454545454545453,1.415,2.0419174102510858,559.0,45.45454545454545,0.0,1.0,M3|5m|50/200|v1.5,M3,5,50/200,-0.013615023474178409,-1.0255571906359404,359.0,1.6977613319052114,0.37725138711054207,1.2726540193849059
223,213.7,1.043,0.02242152466367713,-1.242901185479589,0.94407005210914,0.3200237464776745,0.0012289115564519902,1.2653227101432665,0.26905829596412556,0.207,0.2124641346419352,13.0,34.08071748878923,0.0,1.0,M4|5m|50/200|d0.25,M4,5,50/200,0.057343325018672744,-2.2490021448699467,1084.0,0.6856038238606149,-0.03492180035499562,1.0061009593903576
403,336.0,1.2,0.09429280397022333,-1.0195905008280814,0.8308364592037017,0.28163947769617004,0.001407367898433018,1.1138833047983048,0.3076923076923077,0.288,0.23218066337332943,18.0,36.47642679900744,0.0,2.0,M4|5m|50/200|d0.5,M4,5,50/200,0.010304956863808381,-2.0277328618629706,1859.0,0.5787716553914488,0.08398784710641495,1.0081423610348892
937,661.9,1.416,0.06616862326574173,-0.2474419933958604,0.23185672868999313,0.07859550125084512,0.0031583867207638457,0.3136106166616021,0.35005336179295626,0.709,0.8471083840835185,168.0,35.53895410885806,0.0,2.0,M5|5m|50/200,M5,5,50/200,0.060251025733047525,-0.6474713757691987,3933.0,0.3042697487428867,0.005917597532694205,0.4000293823733383
8521,5304.9,1.606,0.04142706255134374,-0.15850268332782744,0.1489458784091726,0.0504901282742958,0.0004937391957028315,0.1999297458791712,0.34702499706607204,0.798,0.9727827796750493,247.0,34.714235418378124,2.0,16.0,M1|15m|5/20,M1,15,5/20,0.023120310437892113,-0.24563439424955655,9776.0,0.08445468415787881,0.01830675211345163,0.08713171092172911
4500,3700.5,1.216,0.008666666666666673,-0.1829269805364205,0.14273305066468175,0.048384084971078566,0.0004765115673269136,0.19159364720308722,0.3362222222222222,0.769,0.9959403894777878,258.0,33.62222222222222,1.0,9.0,M2|15m|5/20|s0.00,M2,15,5/20,0.04739428813320296,-0.21798958010166375,8788.0,0.07620534444421097,-0.038727621466536286,0.03506259956524324
25,23.0,1.087,0.44,0.3691043214228754,0.060673582401591465,0.02056731606833609,-0.01034521989280292,0.07089567857712464,0.48,1.648,2.0814536274369537,692.0,48.0,0.0,0.0,M2|15m|5/20|s0.25,M2,15,5/20,-0.016000000000000007,-0.1296568574095605,125.0,0.40629058109069,0.456,0.4987611788324359
0,,,,,,,,,,,,,,,,M2|15m|5/20|s0.50,M2,15,5/20,,,,,,
742,543.0,1.366,0.07142857142857142,-0.06693616936961615,0.10102427406407033,0.034245516631888254,0.0030949501022290186,0.13836474079818759,0.35714285714285715,0.908,1.4384052432462102,312.0,35.714285714285715,0.0,4.0,M3|15m|5/20|v1.2,M3,15,5/20,0.06602206958336954,-0.1669006671307452,2634.0,0.14300972696209807,0.005406501845201889,0.09996449776112905
124,92.6,1.339,0.33064516129032256,0.22768100549083523,0.07249186353662458,0.02457351306326257,0.005898779199600253,0.1029641557994874,0.4435483870967742,1.372,2.0302728418114993,909.0,44.354838709677416,0.0,2.0,M3|15m|5/20|v1.5,M3,15,5/20,0.065739357729649,-0.14005236139839022,518.0,0.09329275463247917,0.26490580356067356,0.3677333668892254
4134,2733.1,1.513,0.03918722786647315,-0.21166978577413642,0.18710833605863744,0.06342655459614831,0.00032212298582378663,0.2508570136406095,0.34591194968553457,0.742,0.8026706565140297,182.0,34.639574262215774,1.0,8.0,M4|15m|5/20|d0.25,M4,15,5/20,0.05199512270856603,-0.3369128612319062,10178.0,0.09858012541184008,-0.012807894842092882,0.1252430754577698
5972,3695.3,1.616,0.036838580040187544,-0.19563668654130448,0.17324846799092455,0.05872829423421173,0.0004985043563557498,0.232475266581492,0.34477561955793706,0.758,0.8920864994395992,221.0,34.56128600133959,1.0,12.0,M4|15m|5/20|d0.5,M4,15,5/20,0.06254050313137019,-0.26335912818898305,10461.0,0.11033649734054143,-0.025701923091182646,0.06772244164767857
4123,1541.2,2.675,0.051418869755032744,-0.1505098924661558,0.14933196301061027,0.05062100441037637,0.0019757948002018444,0.20192876222118852,0.35023041474654376,0.807,0.9701367068421842,244.0,35.04729565850109,1.0,8.0,M5|15m|5/20,M5,15,5/20,0.05632350221055029,-0.24214789363780276,9321.0,0.11684898396696056,-0.004904632455517546,0.09163800117164697
