underlying,expiry_ts,expiry,entry_ts,spot_at_entry,strike,call_symbol,put_symbol,call_premium,put_premium,straddle_premium,call_settlement,put_settlement,straddle_payout,contract_value,tick_size,taker_fee,realised_abs_move,premium_frac_of_spot,gross_return_on_premium,cost_frac_of_premium,net_return_on_premium,entry_time_utc,entry_time_ist,exit_time_utc,exit_reason,win
ETH,1710936000,2024-03-20 12:00:00+00:00,1710849600,3277.54,3280.0,C-ETH-3280-200324,P-ETH-3280-200324,64.713471,72.19689,136.910361,0.1565517241393,0.0,0.1565517241393,0.01,0.01,0.0003,0.1565517241393,0.0417722929392166,0.9988565385191024,0.0606980673639448,0.9381584711551576,2024-03-19 12:00:00+00:00,2024-03-19 17:30:00+05:30,2024-03-20 12:00:00+00:00,settlement,True
ETH,1711022400,2024-03-21 12:00:00+00:00,1710936000,3277.94,3280.0,C-ETH-3280-210324,P-ETH-3280-210324,66.53055,58.405945,124.936495,252.767931034482,0.0,252.767931034482,0.01,0.01,0.0003,252.767931034482,0.0381143324771045,-1.0231713002232212,0.06395137870643802,-1.0871226789296593,2024-03-20 12:00:00+00:00,2024-03-20 17:30:00+05:30,2024-03-21 12:00:00+00:00,settlement,False
ETH,1711108800,2024-03-22 12:00:00+00:00,1711022400,3539.59,3550.0,C-ETH-3550-220324,P-ETH-3550-220324,55.069249,64.639782,119.709031,0.0,124.731379310345,124.731379310345,0.01,0.01,0.0003,124.731379310345,0.0338200274608076,-0.0419546317298734,0.06866868273956707,-0.11062331446944046,2024-03-21 12:00:00+00:00,2024-03-21 17:30:00+05:30,2024-03-22 12:00:00+00:00,settlement,False
ETH,1711195200,2024-03-23 12:00:00+00:00,1711108800,3385.18,3380.0,C-ETH-3380-230324,P-ETH-3380-230324,68.16721,43.94033,112.10754,0.0,20.294827586207,20.294827586207,0.01,0.01,0.0003,20.294827586207,0.0331171577286879,0.8189700033895402,0.06955729250681977,0.7494127108827204,2024-03-22 12:00:00+00:00,2024-03-22 17:30:00+05:30,2024-03-23 12:00:00+00:00,settlement,True
ETH,1711281600,2024-03-24 12:00:00+00:00,1711195200,3361.77,3360.0,C-ETH-3360-240324,P-ETH-3360-240324,31.992888,26.690755,58.683643,18.0158620689663,0.0,18.0158620689663,0.01,0.01,0.0003,18.0158620689663,0.0174561742772408,0.6930002783064048,0.10791743028632357,0.5850828480200811,2024-03-23 12:00:00+00:00,2024-03-23 17:30:00+05:30,2024-03-24 12:00:00+00:00,settlement,True
ETH,1711368000,2024-03-25 12:00:00+00:00,1711281600,3389.83,3380.0,C-ETH-3380-250324,P-ETH-3380-250324,46.817529,34.813449,81.630978,56.293448275862,0.0,56.293448275862,0.01,0.01,0.0003,56.293448275862,0.0240811421221713,0.310391108191035,0.08560119775117724,0.22478991043985774,2024-03-24 12:00:00+00:00,2024-03-24 17:30:00+05:30,2024-03-25 12:00:00+00:00,settlement,True
ETH,1711540800,2024-03-27 12:00:00+00:00,1711454400,3629.07,3620.0,C-ETH-3620-270324,P-ETH-3620-270324,56.031286,44.974286,101.005572,0.0,35.951034482758,35.951034482758,0.01,0.01,0.0003,35.951034482758,0.0278323570501533,0.6440687996622801,0.07767603602700254,0.5663927636352776,2024-03-26 12:00:00+00:00,2024-03-26 17:30:00+05:30,2024-03-27 12:00:00+00:00,settlement,True
ETH,1711627200,2024-03-28 12:00:00+00:00,1711540800,3592.5,3600.0,C-ETH-3600-280324,P-ETH-3600-280324,46.987411,54.61293,101.600341,0.0,20.309655172414,20.309655172414,0.01,0.01,0.0003,20.309655172414,0.0282812361864996,0.8001024900850087,0.07686853274242454,0.7232339573425841,2024-03-27 12:00:00+00:00,2024-03-27 17:30:00+05:30,2024-03-28 12:00:00+00:00,settlement,True
ETH,1711713600,2024-03-29 12:00:00+00:00,1711627200,3590.48,3600.0,C-ETH-3600-290324,P-ETH-3600-290324,50.959857,56.941064,107.900921,0.0,47.7079310344834,47.7079310344834,0.01,0.01,0.0003,47.7079310344834,0.0300519487645105,0.557854274158759,0.07391840856298158,0.4839358655957774,2024-03-28 12:00:00+00:00,2024-03-28 17:30:00+05:30,2024-03-29 12:00:00+00:00,settlement,True
ETH,1711800000,2024-03-30 12:00:00+00:00,1711713600,3553.67,3560.0,C-ETH-3560-300324,P-ETH-3560-300324,42.020913,43.994515,86.015428,0.0,6.502413793103,6.502413793103,0.01,0.01,0.0003,6.502413793103,0.0242046751667993,0.9244040988425588,0.08530109494310718,0.8391030038994516,2024-03-29 12:00:00+00:00,2024-03-29 17:30:00+05:30,2024-03-30 12:00:00+00:00,settlement,True
