underlying,expiry_ts,expiry,spot_at_obs,settle,max_pain,n_strikes,total_oi,pull,move
BTC,1734868800,2024-12-22 12:00:00+00:00,98087.0,97214.23448275863,98000.0,67,309.652,-0.0008869676919469451,-0.00889787145331558
BTC,1735214400,2024-12-26 12:00:00+00:00,97776.5,95797.8068965517,98200.0,52,148.21499999999997,0.004331306602302189,-0.020236898472008085
BTC,1735560000,2024-12-30 12:00:00+00:00,95042.4,93889.35172413792,95000.0,41,133.267,-0.00044611668055514363,-0.01213193559781822
BTC,1735905600,2025-01-03 12:00:00+00:00,96789.3,96731.85172413792,96000.0,57,435.609,-0.008154827031500413,-0.000593539532387227
BTC,1736251200,2025-01-07 12:00:00+00:00,99399.5,100837.3896551724,99200.0,33,214.502,-0.0020070523493578942,0.01446576346130919
BTC,1736596800,2025-01-11 12:00:00+00:00,95095.9,94673.91379310345,94800.0,46,256.54600000000005,-0.0031115957680614434,-0.00443748055275301
BTC,1736942400,2025-01-15 12:00:00+00:00,96500.7,96703.49655172412,96000.0,52,167.053,-0.005188563399021946,0.00210150342665001
BTC,1737288000,2025-01-19 12:00:00+00:00,103557.6,104613.4448275862,103600.0,52,308.414,0.000409433976839886,0.010195725157653213
BTC,1737633600,2025-01-23 12:00:00+00:00,105326.7,101979.40344827587,105200.0,52,171.05700000000002,-0.0012029238550148927,-0.03178013316399474
BTC,1737979200,2025-01-27 12:00:00+00:00,104795.2,99009.90689655169,104600.0,36,174.479,-0.0018626807334686808,-0.05520570697368109
BTC,1738324800,2025-01-31 12:00:00+00:00,105172.1,104688.6172413793,105000.0,66,606.788,-0.0016363655380087097,-0.004597062896155066
BTC,1738670400,2025-02-04 12:00:00+00:00,95094.4,99199.95862068965,95200.0,52,162.27499999999998,0.0011104754854124514,0.04317350570264553
BTC,1739016000,2025-02-08 12:00:00+00:00,97870.8,95961.88965517239,97400.0,41,234.57100000000003,-0.004810423537970497,-0.019504390940174338
BTC,1739361600,2025-02-12 12:00:00+00:00,98022.1,96205.22758620688,98400.0,40,203.88400000000001,0.003855253050077423,-0.018535334519390295
BTC,1739707200,2025-02-16 12:00:00+00:00,97587.9,97274.85862068963,97600.0,35,235.425,0.00012399078164409543,-0.0032077888683982882
BTC,1740052800,2025-02-20 12:00:00+00:00,96494.2,97217.03103448273,96200.0,37,279.72900000000004,-0.003048887912434085,0.007490927273170131
BTC,1740398400,2025-02-24 12:00:00+00:00,96148.1,95761.56551724138,96000.0,44,317.509,-0.001540332050243383,-0.004020198867774019
BTC,1740744000,2025-02-28 12:00:00+00:00,86689.9,80602.12758620689,88000.0,51,640.896,0.015112487152482652,-0.0702247022293613
BTC,1741089600,2025-03-04 12:00:00+00:00,93201.5,83952.28620689658,92600.0,77,215.156,-0.00645375879143576,-0.09923889414980899
BTC,1741435200,2025-03-08 12:00:00+00:00,89016.4,85876.4310344828,89000.0,69,204.49900000000002,-0.00018423571386839033,-0.03527405023700349
BTC,1741780800,2025-03-12 12:00:00+00:00,81534.5,82893.92758620689,80400.0,65,189.894,-0.013914355272921279,0.01667303517169897
BTC,1742126400,2025-03-16 12:00:00+00:00,84010.9,82537.86666666667,84000.0,46,388.608,-0.00012974506879457522,-0.017533835887168517
BTC,1742472000,2025-03-20 12:00:00+00:00,83742.4,85449.9344827586,83600.0,38,204.47500000000002,-0.0017004528172108058,0.02039032178154207
BTC,1742817600,2025-03-24 12:00:00+00:00,84738.0,87681.393908046,84600.0,24,228.01,-0.0016285491751044396,0.03473522986199812
BTC,1743163200,2025-03-28 12:00:00+00:00,86846.29333333333,85104.57862068966,86500.0,64,615.044,-0.003987427903274953,-0.020055141627733364
BTC,1743508800,2025-04-01 12:00:00+00:00,82140.01333333332,83944.80816091954,82000.0,32,217.98399999999998,-0.0017045691576057067,0.021972175975454936
BTC,1743854400,2025-04-05 12:00:00+00:00,82414.77,83513.30666666667,83000.0,51,425.40600000000006,0.007101032982316105,0.013329366406854825
BTC,1744200000,2025-04-09 12:00:00+00:00,79871.56333333334,76115.9887356322,79600.0,51,225.53599999999997,-0.003400000225361879,-0.047020171397268745
BTC,1744545600,2025-04-13 12:00:00+00:00,83524.43333333333,84402.38344827587,83400.0,45,400.98400000000004,-0.0014897836281838603,0.010511296873320511
BTC,1744891200,2025-04-17 12:00:00+00:00,84038.04666666668,84586.55022988503,84000.0,35,237.341,-0.00045273144933492625,0.006526848076252571
BTC,1745236800,2025-04-21 12:00:00+00:00,84247.87333333334,86891.17448275862,84200.0,22,337.921,-0.000568243819567077,0.03137528634066355
BTC,1745582400,2025-04-25 12:00:00+00:00,92578.34,94279.63603448276,92000.0,52,666.212,-0.0062470335933869255,0.018376825880467924
BTC,1745928000,2025-04-29 12:00:00+00:00,95185.56333333334,95109.72988505746,95000.0,31,247.18499999999995,-0.0019494903096124866,-0.00079669064950865
BTC,1746273600,2025-05-03 12:00:00+00:00,96905.69333333331,95979.63241379308,97000.0,41,411.957,0.0009731798351856607,-0.009556310756219441
BTC,1746619200,2025-05-07 12:00:00+00:00,93865.9,97002.85172413793,94000.0,31,330.865,0.001428633827620103,0.033419502973262245
BTC,1746964800,2025-05-11 12:00:00+00:00,103522.2,104494.41724137933,103600.0,43,304.895,0.0007515296235976719,0.00939138891348262
BTC,1747310400,2025-05-15 12:00:00+00:00,103928.7,102292.7310344828,103800.0,41,302.981,-0.0012383489834857657,-0.0157412626687065
BTC,1747656000,2025-05-19 12:00:00+00:00,103801.5,103008.66206896551,103800.0,26,253.20800000000003,-1.4450658227482262e-05,-0.00763801998077571
BTC,1748001600,2025-05-23 12:00:00+00:00,111016.8,110240.49655172415,110000.0,63,521.721,-0.009158974137247722,-0.006992666409731249
BTC,1748347200,2025-05-27 12:00:00+00:00,109703.7,109523.72758620688,109800.0,36,179.999,0.0008778190708244382,-0.0016405318489086413
BTC,1748692800,2025-05-31 12:00:00+00:00,105922.7,103476.54482758619,106000.0,41,385.89700000000005,0.0007297774697963979,-0.0230937766164742
BTC,1749038400,2025-06-04 12:00:00+00:00,105298.6,105262.02758620691,105400.0,33,261.76099999999997,0.0009629757660595124,-0.00034732098805772936
BTC,1749384000,2025-06-08 12:00:00+00:00,105241.6,105633.16896551725,105200.0,47,381.82500000000005,-0.0003952809535393401,0.0037206671650492425
BTC,1749729600,2025-06-12 12:00:00+00:00,109334.5,107043.4551724138,109600.0,38,265.289,0.002428327746502705,-0.020954454701729096
BTC,1750075200,2025-06-16 12:00:00+00:00,104977.9,106869.54137931034,105200.0,31,244.291,0.002115683396219641,0.018019424843803717
BTC,1750420800,2025-06-20 12:00:00+00:00,104736.0,105937.81034482758,105000.0,53,637.3899999999999,0.0025206232813932174,0.011474663390119726
BTC,1750766400,2025-06-24 12:00:00+00:00,101215.9,105221.4344827586,101200.0,47,254.3,-0.00015708994337840378,0.0395741625847185
BTC,1751112000,2025-06-28 12:00:00+00:00,106945.0,107328.00109195398,107000.0,28,209.76,0.0005142830426854925,0.003581290307671964
BTC,1751457600,2025-07-02 12:00:00+00:00,106699.5,107520.7620689655,106600.0,29,228.11699999999996,-0.0009325254570077648,0.007696962675228107
BTC,1751803200,2025-07-06 12:00:00+00:00,108019.0,108038.15172413792,108000.0,32,319.267,-0.00017589498143845064,0.0001772995874607133
BTC,1752148800,2025-07-10 12:00:00+00:00,109053.1,111058.71379310342,109000.0,26,322.58599999999996,-0.0004869187579262379,0.018391167175471557
