k,stop_width,n,clusters,unresolved,excess_gross_R,se_gross_R,t,ci_low_R,ci_high_R,p_signal,p_control,signal_gross_R,control_gross_R,cost_R,signal_net_R,control_net_R,excess_net_R,break_even_cost_R,edge_to_cost,required_multiple,exec_tf,regime,band,stage,scenario,signal_real,economics_viable
0.5,0.005,82635,1412,35,0.004919223089489925,0.0026744565994515353,1.8393355459567886,-0.0003227118454350833,0.010161158024414935,0.6657106552913414,0.6624311732316814,-0.0014340170629878468,-0.006353240152477846,0.2052,-0.20663401706298784,-0.21155324015247784,0.004919223089489925,0.004919223089489925,0.02397282207353765,41.713904059040594,5,ALL,primary,B,D_fee_sens,False,False
0.75,0.005,82629,1412,41,0.007804463324014571,0.003632166502862283,2.1487074774420063,0.0006854169784044953,0.014923509669624645,0.5744714325478948,0.5700117392198865,0.00532500695881577,-0.00247945636519864,0.316,-0.31067499304118423,-0.31847945636519864,0.007804463324014571,0.007804463324014571,0.024697668746881552,40.48965148284552,5,ALL,primary,B,A_baseline,True,False
0.75,0.005,82629,1412,41,0.007804463324014571,0.003632166502862283,2.1487074774420063,0.0006854169784044953,0.014923509669624645,0.5744714325478948,0.5700117392198865,0.00532500695881577,-0.00247945636519864,0.276,-0.27067499304118425,-0.27847945636519866,0.007804463324014571,0.007804463324014571,0.028277041029038295,35.36437914324482,5,ALL,primary,B,B_low_slip,True,False
0.75,0.005,82629,1412,41,0.007804463324014571,0.003632166502862283,2.1487074774420063,0.0006854169784044953,0.014923509669624645,0.5744714325478948,0.5700117392198865,0.00532500695881577,-0.00247945636519864,0.436,-0.43067499304118423,-0.43847945636519864,0.007804463324014571,0.007804463324014571,0.017900145238565528,55.86546850164761,5,ALL,primary,B,C_high_slip,True,False
0.75,0.005,82629,1412,41,0.007804463324014571,0.003632166502862283,2.1487074774420063,0.0006854169784044953,0.014923509669624645,0.5744714325478948,0.5700117392198865,0.00532500695881577,-0.00247945636519864,0.2052,-0.19987499304118422,-0.20767945636519863,0.007804463324014571,0.007804463324014571,0.03803344699812169,26.29264710215158,5,ALL,primary,B,D_fee_sens,True,False
1.0,0.005,82629,1412,41,0.008919386656016652,0.004433520008265147,2.0118070155065886,0.00022968743981696335,0.01760908587221634,0.506722821285505,0.5022631279574967,0.013445642571010108,0.004526255914993449,0.316,-0.3025543574289899,-0.31147374408500655,0.008919386656016652,0.008919386656016652,0.028225907139293203,35.428445047489824,5,ALL,primary,B,A_baseline,True,False
1.0,0.005,82629,1412,41,0.008919386656016652,0.004433520008265147,2.0118070155065886,0.00022968743981696335,0.01760908587221634,0.506722821285505,0.5022631279574967,0.013445642571010108,0.004526255914993449,0.276,-0.2625543574289899,-0.2714737440850066,0.008919386656016652,0.008919386656016652,0.03231661831890091,30.943831750339218,5,ALL,primary,B,B_low_slip,True,False
1.0,0.005,82629,1412,41,0.008919386656016652,0.004433520008265147,2.0118070155065886,0.00022968743981696335,0.01760908587221634,0.506722821285505,0.5022631279574967,0.013445642571010108,0.004526255914993449,0.436,-0.4225543574289899,-0.43147374408500655,0.008919386656016652,0.008919386656016652,0.02045730884407489,48.88228493894166,5,ALL,primary,B,C_high_slip,True,False
1.0,0.005,82629,1412,41,0.008919386656016652,0.004433520008265147,2.0118070155065886,0.00022968743981696335,0.01760908587221634,0.506722821285505,0.5022631279574967,0.013445642571010108,0.004526255914993449,0.2052,-0.19175435742898989,-0.20067374408500654,0.008919386656016652,0.008919386656016652,0.04346679656928193,23.006066214382635,5,ALL,primary,B,D_fee_sens,True,False
0.25,0.0075,82627,1412,43,0.001232950488339163,0.001656270979322243,0.7444135070480401,-0.0020133406311324334,0.0044792416078107584,0.7940382683626418,0.7930519079719704,-0.007452164546697726,-0.008685115035036883,0.21066666666666667,-0.2181188312133644,-0.21935178170170355,0.001232950488339163,0.001232950488339163,0.005852613077559318,170.86384948875252,5,ALL,primary,B,A_baseline,False,False
0.25,0.0075,82627,1412,43,0.001232950488339163,0.001656270979322243,0.7444135070480401,-0.0020133406311324334,0.0044792416078107584,0.7940382683626418,0.7930519079719704,-0.007452164546697726,-0.008685115035036883,0.18400000000000002,-0.19145216454669775,-0.1926851150350369,0.001232950488339163,0.001232950488339163,0.0067008178714084935,149.23551411042945,5,ALL,primary,B,B_low_slip,False,False
0.25,0.0075,82627,1412,43,0.001232950488339163,0.001656270979322243,0.7444135070480401,-0.0020133406311324334,0.0044792416078107584,0.7940382683626418,0.7930519079719704,-0.007452164546697726,-0.008685115035036883,0.2906666666666667,-0.2981188312133644,-0.29935178170170357,0.001232950488339163,0.001232950488339163,0.004241802138781524,235.74885562372185,5,ALL,primary,B,C_high_slip,False,False
0.25,0.0075,82627,1412,43,0.001232950488339163,0.001656270979322243,0.7444135070480401,-0.0020133406311324334,0.0044792416078107584,0.7940382683626418,0.7930519079719704,-0.007452164546697726,-0.008685115035036883,0.1368,-0.14425216454669773,-0.1454851150350369,0.001232950488339163,0.001232950488339163,0.009012795967391542,110.95336049079754,5,ALL,primary,B,D_fee_sens,False,False
