k,stop_width,n,clusters,unresolved,excess_gross_R,se_gross_R,t,ci_low_R,ci_high_R,p_signal,p_control,signal_gross_R,control_gross_R,cost_R,signal_net_R,control_net_R,excess_net_R,break_even_cost_R,edge_to_cost,required_multiple,exec_tf,regime,band,stage,signal_real,economics_viable,symbol
0.5,0.01,20232,353,5,0.011899466192170818,0.005647617669543715,2.106988625724766,0.0008301355598651383,0.0229687968244765,0.6710162119414789,0.6630832344800316,0.006524317912218303,-0.005375148279952668,0.158,-0.1514756820877817,-0.16337514827995267,0.011899466192170818,0.011899466192170818,0.07531307716563809,13.277906542056074,5,ALL,primary,A-symbol,True,False,SOLUSD
0.5,0.01,20882,353,21,0.0012929795996552054,0.005030805755308845,0.25701242754021386,-0.008567399680750131,0.01115335888006054,0.6654535006225457,0.6645915142227756,-0.0018197490661814308,-0.0031127286658365616,0.158,-0.15981974906618143,-0.16111272866583656,0.0012929795996552054,0.0012929795996552054,0.008183415187691173,122.19837037037038,5,ALL,primary,A-symbol,False,False,XRPUSD
0.5,0.015,82599,1412,71,0.0022972433080303634,0.002529692741041199,0.9081115942503115,-0.002660954464410386,0.007255441080471113,0.665395464836136,0.6638639692974492,-0.0019068027457960213,-0.004204046053826183,0.10533333333333333,-0.10724013607912936,-0.10953737938715952,0.0022972433080303634,0.0022972433080303634,0.021809271911680667,45.852057971014496,5,ALL,primary,A,False,False,
0.5,0.015,29545,962,31,0.0004315451006938569,0.0037323808387698327,0.11562193659639812,-0.006883921343295015,0.007747011544682729,0.666914875613471,0.666627178879675,0.0003723134202064937,-5.923168048749261e-05,0.10533333333333333,-0.10496101991312684,-0.10539256501382083,0.0004315451006938569,0.0004315451006938569,0.004096947158485983,244.08418300653594,5,LOW,primary,A,False,False,
0.5,0.015,27965,1207,27,-0.00045592705167173255,0.004545937045105354,-0.10029330524113456,-0.009365963660078226,0.008454109556734764,0.6619345610584659,0.6622385124262471,-0.007098158412301103,-0.006642231360629358,0.10533333333333333,-0.11243149174563444,-0.11197556469396269,-0.00045592705167173255,-0.00045592705167173255,-0.0043284213766303726,,5,NORMAL,primary,A,False,False,
0.5,0.015,25089,1019,13,0.00756307545139304,0.005406745566087225,1.398822148915418,-0.0030341458581379203,0.018160296760924,0.6674638287695803,0.6624217784686516,0.0011957431543705432,-0.0063673322970225765,0.10533333333333333,-0.10413759017896279,-0.11170066563035591,0.00756307545139304,0.00756307545139304,0.07180134922208582,13.927314888010542,5,HIGH,primary,A,False,False,
0.5,0.015,20685,353,19,0.0025380710659898475,0.004504396839086986,0.5634652444397638,-0.006290546738620643,0.011366688870600338,0.6703408266860044,0.6686487793086778,0.005511240029006492,0.0029731689630168034,0.10533333333333333,-0.09982209330432684,-0.10236016437031653,0.0025380710659898475,0.0025380710659898475,0.024095611385979564,41.501333333333335,5,ALL,primary,A-symbol,False,False,BTCUSD
0.5,0.015,20802,353,24,0.0035693683299682726,0.005243380589790908,0.680737983605079,-0.006707657626021907,0.013846394285958453,0.6618594365926354,0.6594798577059898,-0.007210845111046971,-0.010780213441015318,0.10533333333333333,-0.1125441784443803,-0.11611354677434865,0.0035693683299682726,0.0035693683299682726,0.03388640819590132,29.5103569023569,5,ALL,primary,A-symbol,False,False,ETHUSD
0.5,0.015,20230,353,7,0.005635195254572417,0.005541323980126063,1.0169402248962565,-0.005225799746474665,0.0164961902556195,0.6673257538309442,0.6635689569945625,0.000988630746416197,-0.004646564508156148,0.10533333333333333,-0.10434470258691714,-0.10997989784148948,0.005635195254572417,0.005635195254572417,0.053498689125687504,18.69204678362573,5,ALL,primary,A-symbol,False,False,SOLUSD
0.5,0.015,20882,353,21,-0.002442294799348721,0.00490344599418163,-0.49807723022680767,-0.012053048947944716,0.007168459349247273,0.6621492194234269,0.663777415956326,-0.00677617086485971,-0.004333876065510944,0.10533333333333333,-0.11210950419819304,-0.10966720939884428,-0.002442294799348721,-0.002442294799348721,-0.023186343031791658,,5,ALL,primary,A-symbol,False,False,XRPUSD
0.5,0.02,82569,1412,101,0.0027704102023761944,0.002406803878301918,1.1510743469180433,-0.0019469253990955656,0.007487745803847954,0.6645351160847291,0.6626881759498117,-0.0031973258729063314,-0.005967736075282559,0.079,-0.08219732587290633,-0.08496773607528256,0.0027704102023761944,0.0027704102023761944,0.035068483574382206,28.515632786885245,5,ALL,primary,A,False,False,
0.5,0.02,29544,962,32,0.002767059301380991,0.0035574443944664897,0.7778222213915917,-0.004205531711773329,0.009739650314535312,0.6620972109396155,0.6602525047386948,-0.006854183590576768,-0.00962124289195776,0.079,-0.08585418359057677,-0.08862124289195776,0.002767059301380991,0.002767059301380991,0.03502606710608849,28.55016513761468,5,LOW,primary,A,False,False,
0.5,0.02,27958,1207,34,0.00029508548537091354,0.004385503637245632,0.06728656724048358,-0.008300501643630526,0.008890672614372354,0.6633879390514343,0.6631912153945203,-0.004918091422848492,-0.005213176908219541,0.079,-0.08391809142284849,-0.08421317690821954,0.00029508548537091354,0.00029508548537091354,0.0037352593084925764,267.71903030303025,5,NORMAL,primary,A,False,False,
0.5,0.02,25067,1019,35,0.0055351657557745244,0.0053223302658890696,1.0399891549852744,-0.004896601565368051,0.0159669330769171,0.6686879163840906,0.6649978058802409,0.0030318745761359622,-0.002503291179638545,0.079,-0.07596812542386404,-0.08150329117963855,0.0055351657557745244,0.0055351657557745244,0.07006538931360158,14.272381981981981,5,HIGH,primary,A,False,False,
0.5,0.02,20679,353,25,0.0034817931234585814,0.004322757927546831,0.8054564196784673,-0.004990812414533207,0.01195439866145037,0.6626045746892983,0.6602833792736593,-0.0060931379660524865,-0.009574931089511018,0.079,-0.08509313796605249,-0.08857493108951102,0.0034817931234585814,0.0034817931234585814,0.044073330676690906,22.68945833333333,5,ALL,primary,A-symbol,False,False,BTCUSD
0.5,0.02,20787,353,39,0.00966950497907346,0.004731940217124207,2.0434545948152345,0.0003949021535100141,0.018944107804636904,0.6709000817818829,0.6644537451291672,0.006350122672824199,-0.0033193823062491745,0.079,-0.0726498773271758,-0.08231938230624918,0.00966950497907346,0.00966950497907346,0.12239879720346152,8.170014925373135,5,ALL,primary,A-symbol,True,False,ETHUSD
0.5,0.02,20227,353,10,0.004004548375933159,0.005175203963081135,0.7737952754134526,-0.006138851391705866,0.014147948143572186,0.6640628862411628,0.661393187323874,-0.0039056706382557538,-0.00791021901418909,0.079,-0.08290567063825575,-0.08691021901418909,0.004004548375933159,0.004004548375933159,0.05069048577130581,19.72756790123457,5,ALL,primary,A-symbol,False,False,SOLUSD
