k,stop_width,n,clusters,unresolved,excess_gross_R,se_gross_R,t,ci_low_R,ci_high_R,p_signal,p_control,signal_gross_R,control_gross_R,cost_R,signal_net_R,control_net_R,excess_net_R,break_even_cost_R,edge_to_cost,required_multiple,exec_tf,regime,band,stage,signal_real,economics_viable,symbol,net_low_slip,net_high_slip,gate
0.5,0.0025,6810,1243,0,0.001762114537444934,0.007653405378505094,0.23023927915721093,-0.013238560004425052,0.01676278907931492,0.6599118942731278,0.6587371512481645,-0.010132158590308249,-0.011894273127753374,0.632,-0.6421321585903083,-0.6438942731277534,0.001762114537444934,0.001762114537444934,0.002788155913678693,358.65999999999997,60,ALL,primary,A,False,False,,-0.5621321585903083,-0.8821321585903082,RED
0.5,0.005,6810,1243,0,0.00870044052863436,0.007911766660122933,1.0996836613605556,-0.006806622125206585,0.024207503182475304,0.6698972099853158,0.6640969162995595,0.004845814977973539,-0.0038546255506608507,0.316,-0.31115418502202646,-0.31985462555066085,0.00870044052863436,0.00870044052863436,0.02753303964757709,36.32,60,ALL,primary,A,False,False,,-0.2711541850220265,-0.43115418502202646,RED
0.5,0.0075,6810,1243,0,0.006497797356828193,0.008760507505001867,0.7417147183674273,-0.01067279735297547,0.023668392066631853,0.6666666666666666,0.6623348017621146,0.0,-0.0064977973568280945,0.21066666666666667,-0.21066666666666667,-0.21716446402349476,0.006497797356828193,0.006497797356828193,0.030843974795070537,32.42124293785311,60,ALL,primary,A,False,False,,-0.18400000000000002,-0.2906666666666667,RED
0.5,0.01,6809,1243,1,0.007490086650022029,0.009175669898101296,0.816298617234687,-0.010494226350256512,0.025474399650300572,0.6704361873990307,0.665442796299016,0.0056542810985460434,-0.0018358055514759997,0.158,-0.15234571890145396,-0.159835805551476,0.007490086650022029,0.007490086650022029,0.047405611709000185,21.094549019607843,60,ALL,primary,A,False,False,,-0.13234571890145397,-0.21234571890145396,RED
0.5,0.015,6806,1243,4,0.006281222450778725,0.010081523535057833,0.6230429784681043,-0.013478563677934628,0.02604100857949208,0.6663238319130179,0.6621363502791654,-0.0005142521304730696,-0.006795474581251959,0.10533333333333333,-0.1058475854638064,-0.1121288079145853,0.006281222450778725,0.006281222450778725,0.0596318587099246,16.769559454191032,60,ALL,primary,A,False,False,,-0.09251425213047308,-0.1458475854638064,RED
0.5,0.02,6805,1243,5,0.008706833210874357,0.010532240046093046,0.8266838937177636,-0.011936357279468011,0.029350023701216726,0.6659808963997061,0.6601763409257898,-0.0010286554004408366,-0.009735488611315235,0.079,-0.08002865540044084,-0.08873548861131524,0.008706833210874357,0.008706833210874357,0.11021307861866274,9.073333333333334,60,ALL,primary,A,False,False,,-0.07002865540044084,-0.11002865540044084,RED
0.5,0.03,6790,1242,20,0.018998527245949928,0.010827377345170976,1.7546748986653997,-0.0022231323505851877,0.04022018684248504,0.6671575846833578,0.6544918998527246,0.0007363770250368162,-0.018262150220913043,0.05266666666666667,-0.05193028964162985,-0.07092881688757971,0.018998527245949928,0.018998527245949928,0.360731529986391,2.772144702842377,60,ALL,primary,A,False,False,,-0.04526362297496319,-0.07193028964162985,RED
0.5,0.05,6777,1241,33,0.005533421868083223,0.011080069119865091,0.49940319037924885,-0.016183513606852357,0.027250357343018804,0.6445329791943337,0.6408440312822783,-0.03320053120849942,-0.03873395307658256,0.031599999999999996,-0.0648005312084994,-0.07033395307658255,0.005533421868083223,0.005533421868083223,0.17510828696465897,5.710751999999999,60,ALL,primary,A,False,False,,-0.06080053120849942,-0.07680053120849942,RED
0.5,0.075,6728,1233,82,0.0066884661117717,0.010816385965141253,0.6183642238107167,-0.014511650379905157,0.027888582603448554,0.6624554102259215,0.6579964328180737,-0.006316884661117794,-0.013005350772889335,0.021066666666666668,-0.027383551327784462,-0.034072017439556,0.0066884661117717,0.0066884661117717,0.31749047998916297,3.149700740740741,60,ALL,diagnostic,A,False,False,,-0.024716884661117797,-0.035383551327784465,RED
0.5,0.1,6626,1214,184,-0.006678237247207968,0.0108829257643157,-0.6136435543009409,-0.028008771745266735,0.014652297250850802,0.6580138846966496,0.6624660428614548,-0.012979172955025708,-0.006300935707817756,0.015799999999999998,-0.028779172955025707,-0.022100935707817754,-0.006678237247207968,-0.006678237247207968,-0.42267324349417523,,60,ALL,diagnostic,A,False,False,,-0.026779172955025708,-0.03477917295502571,RED
