symbol,family,timeframe_min,confirm_min,spec_hash,bars,signals,status,trades,trades_per_day,days,rej_cost,rej_cooldown,initial_capital,total_pnl,final_equity,return_pct,max_dd_pct,total_fees,total_funding,optimistic_pnl,gross_win,gross_loss,avg_win,avg_loss,best_trade,worst_trade,profit_factor,win_rate,net_r,net_r_lo,net_r_hi,gross_r,cost_r,bars_held,median_r_bps,avg_leverage,ambiguous_pct,model,target_r,stop_mult,rt_bps
BTCUSD,adx_only,5,1,b5acf63ba5bf,169474,6539,ok,1413,2.401217885929405,588.4513888888889,2529,984,10000.0,-39.3494480928282,9960.650551907129,-0.393494480928282,22.049604179464623,7507.205955454,-37.05900736117175,-76.40845545403499,50806.57017148995,-50845.91961958278,96.59043758838394,-57.32347194992422,114.220364549412,-69.26246374858086,0.9992261041124394,0.3722576079263977,0.004915463120839062,-0.07059588713582175,0.07784971552868054,0.10705569923558496,0.1021402361147459,32.24416135881104,44.965342596951444,1.0780631050982397,0.0,maker/maker (floor),2.0,2.0,4.72
BTCUSD,adx_only,5,1,8f0add012268,169474,6536,ok,1161,1.9729752056362626,588.4513888888889,301,763,10000.0,-1235.929491718984,8761.333117494994,-12.35929491718984,27.184828998640352,3575.881124822,21.12186689698409,-1217.5450156080096,32187.278989540435,-33423.20848125942,74.85413718497776,-45.72258342169551,104.4157361000468,-59.368660248000005,0.9630218178361908,0.37037037037037035,-0.01762781872370268,-0.09775092903748765,0.06174962699032889,0.05164735975244359,0.06927517847614628,97.32472006890612,73.90091711347347,0.7289347030792643,0.0,maker/maker (floor),2.0,4.0,4.72
XRPUSD,atr_arm,5,1,ae190a209e26,169475,24588,ok,679,1.1538693022569702,588.4548611111111,20918,898,10000.0,-4033.6034404580914,5966.396559541899,-40.336034404580914,42.610555200386926,2578.039918253,-0.388277794915989,-4033.991718253026,11368.32385349879,-15401.927293956882,35.30535358229438,-43.14265348447306,47.96922754919992,-57.46262445699997,0.7381104738729211,0.4742268041237113,-0.14953326704837394,-0.22529146165579728,-0.07171000783862533,-0.030201662648305382,0.11933160440006858,14.622974963181148,124.84299470939726,0.3777935541876484,0.0,taker/taker (current backtest),1.0,2.0,15.8
XRPUSD,atr_arm,5,1,fba2f87a03ea,169475,24512,ok,1453,2.469178344888627,588.4548611111111,7357,1931,10000.0,-4308.271547567313,5691.7284524327415,-43.082715475673126,49.8840203206494,4613.0451753474,36.90317221990459,-4271.36837534737,24982.95358990798,-29291.22513747529,34.129718018999974,-40.625832368204286,51.51460404520005,-60.58007154179983,0.8529159662203649,0.503785271851342,-0.07505835585752547,-0.12844184695809693,-0.021833527943522578,0.029309869126485866,0.10436822498401135,63.432209222298695,147.25130890052333,0.330279412941517,0.0,taker/taker (current backtest),1.0,4.0,15.8
XRPUSD,atr_arm,5,1,5104b68fd7d7,169475,24588,ok,530,0.9006638147219355,588.4548611111111,20068,705,10000.0,-3154.2712488883744,6845.7287511116365,-31.542712488883744,35.004714645927365,2340.246294761,1.6671541273641495,-3152.6040947609963,13497.81423543307,-16652.085484321447,78.4756641594946,-46.51420526346773,97.19733139380024,-58.243532952000585,0.8105780052679744,0.32452830188679244,-0.137991621348037,-0.26288074776116616,-0.016432671280445035,-0.01736652848444888,0.12062509286358815,34.11698113207547,123.9952113753913,0.38187177410528045,0.0,taker/taker (current backtest),2.0,2.0,15.8
XRPUSD,atr_arm,5,1,1245719458bf,169475,24512,ok,1019,1.7316536362295325,588.4548611111111,6146,1368,10000.0,-3485.616681471454,6509.44067187829,-34.85616681471454,40.46915779677897,4115.1246400956,43.64864137584325,-3443.9335360006226,26863.157864285116,-30348.77454575657,73.79988424254152,-46.33400694008636,104.66623512300008,-60.70677023000006,0.8851480254592745,0.3572129538763494,-0.07951551192532327,-0.16214860031721465,0.005791224367477619,0.02524747493156942,0.10476298685689271,105.4170755642787,144.30686155851473,0.3315256831949035,0.0,taker/taker (current backtest),2.0,4.0,15.8
XRPUSD,wpr_only,5,1,5536e003be2a,169475,74364,ok,858,1.4580557604366426,588.4548611111111,60280,3448,10000.0,-3579.9707208865857,6420.029279113424,-35.799707208865854,41.302276093811265,3453.0314569176,-21.11533603100894,-3601.0860569175766,16079.877764016517,-19659.8484849031,37.56980785985168,-45.720577871867675,47.8958670972001,-58.21177648799957,0.8179044602690778,0.4988344988344988,-0.10070353950189725,-0.17229912692173252,-0.03134125162271158,0.019401481018178852,0.12010502052007611,17.166666666666668,124.44284710312508,0.3801527218671564,0.0,taker/taker (current backtest),1.0,2.0,15.8
XRPUSD,wpr_only,5,1,d4527a09260f,169475,74077,ok,1529,2.598330137188376,588.4548611111111,19229,5899,10000.0,-4584.179667571754,5415.820332428239,-45.841796675717546,49.911367998973965,5120.1870245764,41.34124299535518,-4542.838424576406,28153.61988249216,-32737.799550063915,36.610689053955994,-43.07605203955778,50.90882744000013,-60.06957659200018,0.859972883621532,0.5029431000654022,-0.07767745347898072,-0.12776130875249722,-0.02751161677279332,0.02525263853866478,0.10293009201764548,67.82275997383911,148.8195615514348,0.3257612632746648,0.0,taker/taker (current backtest),1.0,4.0,15.8
XRPUSD,wpr_only,5,1,461613bee59c,169475,74364,ok,665,1.1300781826228057,588.4548611111111,56727,2636,10000.0,-4026.5238635833357,5973.476136416653,-40.265238635833356,46.430213130683754,2825.6803162598,-19.885452676467494,-4046.4093162598065,16196.292321590307,-20222.816185173644,75.33159219344329,-44.9395915226081,106.95832385280013,-63.03409054000029,0.8008920307283719,0.3233082706766917,-0.14999599679411155,-0.2602791034995202,-0.04525900282223209,-0.029790892236951548,0.12020510455715999,37.61954887218045,123.55658198614411,0.380569990729613,0.0,taker/taker (current backtest),2.0,2.0,15.8
XRPUSD,wpr_only,5,1,247ec2c731ff,169475,74077,ok,1029,1.7486472931110784,588.4548611111111,15561,3993,10000.0,-3360.818586435079,6639.181413564918,-33.60818586435079,44.49564911445496,4229.6952839448,79.96940249028185,-3280.8491839448034,27224.733540044654,-30585.552126479735,73.1847675807652,-46.55335179068453,114.52614748438992,-65.43556649000097,0.8901174458928462,0.36151603498542273,-0.07509015219931811,-0.15598556016024856,0.007200003380343264,0.02894460036403289,0.10403475256335103,114.88532555879495,147.28112987517824,0.32927448385848274,0.0,taker/taker (current backtest),2.0,4.0,15.8
XRPUSD,adx_only,5,1,8822505d8858,169475,6062,ok,411,0.6984392978315386,588.4548611111111,5052,260,10000.0,-2759.073477842835,7240.926522157195,-27.59073477842835,29.65811923929843,1688.4824762656,-3.62079842275684,-2762.69427626556,7675.020622075879,-10434.094099918715,39.76694622837243,-47.8628169721042,49.14811556473825,-58.75248257999931,0.7355713441510624,0.46958637469586373,-0.15451140866220547,-0.24984108837482988,-0.057839905796288525,-0.039224824144531364,0.1152865845176741,17.856447688564476,129.47199238049978,0.36497910242132814,0.0,taker/taker (current backtest),1.0,2.0,15.8
XRPUSD,adx_only,5,1,88d2c6a947a0,169475,6019,ok,1075,1.8268181147661897,588.4548611111111,1951,671,10000.0,-2624.8399711441584,7375.160028855858,-26.248399711441582,32.00409900396973,3789.4623203264,61.0920508177597,-2563.74792032637,21212.185158410426,-23837.025129554582,38.427871663787,-45.57748590737014,48.313134765000065,-57.060309804960006,0.8898839113992576,0.5134883720930232,-0.0541335054139641,-0.11443341818621673,0.008068774941948412,0.04852987259746327,0.10266337801142734,63.96372093023256,148.27929622662393,0.3248453344182623,0.0,taker/taker (current backtest),1.0,4.0,15.8
XRPUSD,adx_only,5,1,b5acf63ba5bf,169475,6062,ok,360,0.6117716477356543,588.4548611111111,4946,242,10000.0,-2941.8574046601593,7058.142595339826,-29.41857404660159,30.799373800428864,1633.8114859774,-13.0555813172354,-2954.912985977401,9210.959196198366,-12152.816600858525,83.73599269271241,-48.6112664034341,96.74552044065591,-57.92453431599931,0.7579279354505906,0.3055555555555556,-0.18870599307858393,-0.3364544205552224,-0.04268501807193032,-0.07182502197086046,0.11688097110772347,33.419444444444444,127.7316240048343,0.3701219386983638,0.0,taker/taker (current backtest),2.0,2.0,15.8
XRPUSD,adx_only,5,1,8f0add012268,169475,6019,ok,786,1.3357014308895119,588.4548611111111,1696,474,10000.0,1434.706427678978,11434.706427678955,14.347064276789778,23.773626736540567,3911.7802679522,74.17260436883141,1508.879032047811,28740.274920148568,-27305.56849246959,91.82196460111363,-57.72847461410061,121.32293449920037,-70.2263191559999,1.0525426316641109,0.3982188295165394,0.038934302886366554,-0.04837987030997267,0.13753250945062556,0.14146647396160678,0.10253217107524025,108.9910941475827,148.32757114703614,0.32428872926295793,0.0,taker/taker (current backtest),2.0,4.0,15.8
XRPUSD,atr_arm,5,1,ae190a209e26,169475,24588,ok,1912,3.249187195751586,588.4548611111111,15940,2634,10000.0,-5835.476549332767,4164.523450667223,-58.35476549332766,59.21232431787694,5180.3846140172,-15.0637646844352,-5850.5403140172075,30075.247224296425,-35910.72377362919,31.72494432942661,-37.25178814691825,48.07284158360025,-57.36835174500028,0.837500447328271,0.49581589958158995,-0.08898420207204288,-0.13650214427930896,-0.04074514693689654,0.023519752273542426,0.11250395434558527,13.648012552301255,86.59994570783755,0.5483350652876817,0.0,maker/taker (YOUR execution),1.0,2.0,10.26
XRPUSD,atr_arm,5,1,fba2f87a03ea,169475,24512,ok,2086,3.5448768254904857,588.4548611111111,2382,2814,10000.0,-3824.21030393796,6175.789696062023,-38.2421030393796,48.45625738646364,4859.1505392702,37.53256466776231,-3786.6777392702043,37632.869131601605,-41457.07943553956,35.33602735361653,-40.6043873021935,54.65967597360006,-61.90090142759985,0.9077549514821922,0.5105465004793864,-0.04362850124162158,-0.0870746964817288,0.0028840277930658165,0.043687374510600965,0.08731587575222252,56.37248322147651,120.82798914499074,0.4254716428736649,0.0,maker/taker (YOUR execution),1.0,4.0,10.26
XRPUSD,atr_arm,5,1,5104b68fd7d7,169475,24588,ok,1444,2.4538840536952353,588.4548611111111,14369,1971,10000.0,-3411.7787746586087,6588.221225341404,-34.11778774658609,48.79456874846964,5116.9515199794005,24.369354679200864,-3387.409419979398,37477.442120760476,-40889.22089541908,74.65625920470214,-43.40681623717524,104.1284368339999,-60.22828647500029,0.9165604357347676,0.3476454293628809,-0.052542436509995225,-0.12815740732769085,0.024624880378442154,0.0605031365364103,0.11304557304640553,30.309556786703602,85.71811258658286,0.5509297963002125,0.0,maker/taker (YOUR execution),2.0,2.0,10.26
XRPUSD,atr_arm,5,1,1245719458bf,169475,24512,ok,1352,2.2975424103850126,588.4548611111111,1823,1833,10000.0,-1480.915781241792,8514.42330710378,-14.80915781241792,33.928412913488884,4588.8380203618,37.724260879999804,-1443.9593277178155,42191.90954127693,-43672.82532251872,84.04762856828074,-51.37979449708085,116.60357114327435,-69.16285610961823,0.9660906806393815,0.371301775147929,-0.018899997665876068,-0.09346514528244478,0.05635789244320121,0.06696618492520677,0.08586618259108283,98.51701183431953,123.81378537852694,0.41834219990196697,0.0,maker/taker (YOUR execution),2.0,4.0,10.26
XRPUSD,wpr_only,5,1,5536e003be2a,169475,74364,ok,2319,3.940829030830506,588.4548611111111,44527,9519,10000.0,-6996.247016137115,3003.752983862891,-69.96247016137114,71.11819418037109,5748.6069325864,4.773683550719981,-6891.334124792787,32849.1207099393,-39845.367726076416,28.86565967481485,-33.73866869269806,49.47002238639985,-58.957085879999774,0.8244150470831647,0.49072876239758517,-0.10107433642297417,-0.1419185839570637,-0.057231464349206805,0.011845279927235206,0.11291961635020938,15.051746442432083,85.93726276153234,0.5504150751843063,0.086244070720138,maker/taker (YOUR execution),1.0,2.0,10.26
XRPUSD,wpr_only,5,1,d4527a09260f,169475,74077,ok,2152,3.657034960908689,588.4548611111111,5517,8294,10000.0,-5841.007053409901,4158.9929465901405,-58.41007053409901,61.70012123548434,4636.208484013,74.97706939691945,-5766.029984012946,34860.682232517225,-40701.689285927125,32.79462110302655,-37.37528860048405,52.192814584427765,-59.69697912840024,0.8564922695867204,0.49395910780669144,-0.07896127227646013,-0.12086578863860575,-0.038423275328462174,0.007773194871244399,0.08673446714770452,60.578066914498145,122.67526209769966,0.4227593196919287,0.0,maker/taker (YOUR execution),1.0,4.0,10.26
XRPUSD,wpr_only,5,1,461613bee59c,169475,74364,ok,1698,2.8855229384865027,588.4548611111111,38883,6895,10000.0,-6754.79287583608,3245.2071241639096,-67.54792875836081,71.30238402133307,4532.4798326452,11.427043190880303,-6681.924133328021,31003.206615165123,-37757.9994910012,56.472143197022085,-32.861618355962754,108.15591249600014,-62.05421717759981,0.8211029989169332,0.32332155477031804,-0.12748685227532403,-0.1946382678341093,-0.062298617323521564,-0.015416881189491211,0.11206997108583285,32.542402826855124,86.77144896355864,0.5463169095312111,0.058892815076560655,maker/taker (YOUR execution),2.0,2.0,10.26
