strategy,universe,rebalance_d,days,gross_ann,cost_ann,ann_return,ann_vol,sharpe,gross_t,t_stat,p_value,bh_threshold,survives_bh
tsmom_30d,tradeable_1m,30,544,45.16149339256326,1.1037575735334808,44.05773581902978,42.737367443925734,1.03089493934872,1.2906593222493128,1.2581103792187138,0.2083518401744719,0.008125,False
momentum_30d,all,30,544,15.515753828809515,1.339658662450384,14.176095166359126,15.34230020605499,0.9239876013353193,1.2370498724270116,1.1276400214397966,0.2594719774612669,0.00875,False
illiquidity,tradeable_1m,30,544,30.06811239442539,1.049900827056675,29.01821156736872,32.74672373423248,0.8861409099388441,1.120867987234025,1.0814516918171149,0.27949623837499105,0.009375,False
carry,all,7,597,-37.8097998988509,1.8149393016670654,-39.62473920051796,47.43800651501646,-0.8352952012849607,-1.019567649255883,-1.0679035732513555,0.28556401052741304,0.01,False
carry,all,90,514,-34.475023344897174,0.28966579754956456,-34.76468914244674,39.18235761544147,-0.8872536329653179,-1.0439143794766648,-1.0525293946402863,0.29255673159998663,0.010625,False
tsmom_30d,all,30,544,43.67711380521273,1.0564417548471945,42.62067205036553,49.794451751695675,0.8559321480814205,1.0709270752047535,1.0445847373045805,0.29621493670317,0.01125,False
momentum_90d,all,7,513,-15.563338036468116,1.6537306452757052,-17.217068681743818,19.80359103609294,-0.8693912457778454,-0.9322830948375512,-1.0303359020001204,0.3028523512082825,0.011875,False
size_small,tradeable_1m,30,574,22.5929222790575,1.1218390102493325,21.471083268808165,27.27316623451941,0.7872603820245997,1.0388987604734232,0.9869138199243885,0.3236848886543381,0.0125,False
momentum_90d,all,1,513,-10.834617562811701,4.181379903368081,-15.015997466179781,18.258596114455194,-0.8224070115824362,-0.7035442487847604,-0.9746537870091879,0.32973202355446746,0.013125000000000001,False
reversal_1d,tradeable_1m,7,569,-27.223121877519617,5.909207907422834,-33.13232978494246,43.06087879488457,-0.7694299492298894,-0.7892044476540846,-0.9603512536347748,0.33687846276074773,0.013750000000000002,False
tsmom_250d,tradeable_1m,7,352,-37.86529918617259,1.3142635923062698,-39.179562778478875,40.236195707675236,-0.9737392437179441,-0.9239758039464171,-0.9559141553509981,0.339115606785658,0.014375000000000002,False
reversal_1d,all,90,514,13.287513866511595,0.46202885670129246,12.825485009810302,16.27109393532058,0.788237414201715,0.9690681388084074,0.935068640552961,0.3497529264706204,0.015000000000000003,False
tsmom_120d,all,30,454,33.98888024125679,0.6945554367818212,33.294324804474954,40.678399294904,0.8184767685449685,0.9318172768851741,0.9125132328919375,0.36149860674473727,0.015625,False
size_small,tradeable_1m,7,569,-19.409365549133717,2.226749018984091,-21.636114568117808,33.63096860780833,-0.6433390254211828,-0.7199962163141245,-0.8029729544499603,0.421990366836216,0.01625,False
tsmom_250d,all,30,334,30.68119835032792,0.6397725052644885,30.041425845063433,39.316215991829885,0.7640975889263146,0.746423737385324,0.7306795462262418,0.464974911737976,0.016875,False
carry,tradeable_1m,7,569,-24.126464777446632,2.345157792493096,-26.47162256993973,46.47159178698843,-0.5696302095972428,-0.6481393477361659,-0.7109745161888755,0.47710002775878396,0.0175,False
size_small,all,7,569,-8.012484009972296,1.1206098553193704,-9.133093865291666,16.227271947014295,-0.5628237386489411,-0.6151898019592136,-0.7024791321521966,0.482380411121433,0.018125000000000002,False
tsmom_120d,tradeable_1m,30,454,28.98970442782164,0.7541763670499442,28.235528060771685,44.870806390317526,0.629262773108185,0.7205842480445438,0.701560055819651,0.4829535694843954,0.01875,False
illiquidity,tradeable_1m,1,573,-17.810389347827307,3.4043099119939106,-21.21469925982122,38.704054806142004,-0.5481260133099705,-0.5764372304117975,-0.6865348885712699,0.4923758715263307,0.019375,False
momentum_90d,tradeable_1m,90,424,-20.970240498243726,0.5375428634602426,-21.507783361703964,34.442640605384696,-0.6244522192163593,-0.6559953837966148,-0.6728016213276378,0.5010735061472158,0.02,False
low_volatility,tradeable_1m,1,573,29.493795242315315,3.753239701757667,25.74055554055764,48.15957349680943,0.5344847072257181,0.7668318419825082,0.6694489770744502,0.503209117962436,0.020625,False
