symbol,stop_mult,target_r,hold_h,trades,gross_r,cost_r,net_r,hit,timeout
SOLUSD,2.0,4.0,48,615,0.10599466626395149,0.1133426660553744,-0.007347999791422964,18.048780487804876,7.804878048780488
SOLUSD,2.0,4.0,168,556,0.09848436524573971,0.1119451314074477,-0.013460766161707993,21.762589928057555,0.1798561151079137
SOLUSD,3.0,1.0,48,1139,0.06286171450282123,0.09258407730613942,-0.029722362803318185,51.975417032484636,0.5267778753292361
SOLUSD,3.0,1.0,168,1131,0.06514162640972704,0.09253503527715029,-0.027393408867423242,52.43147656940761,0.0
SOLUSD,3.0,1.5,48,886,0.049642197452082606,0.0917551437001582,-0.04211294624807559,40.06772009029345,2.595936794582393
SOLUSD,3.0,1.5,168,866,0.03380675837500297,0.09134981067843431,-0.05754305230343134,40.877598152424945,0.0
SOLUSD,3.0,2.0,48,762,0.005843935500819452,0.09207286547017157,-0.08622892996935211,30.971128608923888,4.593175853018373
SOLUSD,3.0,2.0,168,703,-0.020647645668823503,0.09080186502156101,-0.1114495106903845,32.29018492176387,0.1422475106685633
SOLUSD,3.0,2.5,48,713,0.07500122483823173,0.09284390519875997,-0.017842680360528218,27.349228611500703,6.311360448807854
SOLUSD,3.0,2.5,168,626,0.026801228707999343,0.09090012404352849,-0.06409889533552915,28.913738019169326,0.3194888178913738
SOLUSD,3.0,3.0,48,621,0.11894939192013514,0.09334739280523706,0.02560199911489809,23.027375201288244,10.144927536231885
SOLUSD,3.0,3.0,168,524,0.08459691140628846,0.09210431378270843,-0.007507402376419988,26.717557251908396,0.5725190839694656
SOLUSD,3.0,4.0,48,579,0.06276605423001973,0.09487436856663885,-0.03210831433661911,15.198618307426598,13.298791018998275
SOLUSD,3.0,4.0,168,432,0.120646295756454,0.09197068017798717,0.02867561557846688,21.75925925925926,1.3888888888888888
SOLUSD,4.0,1.0,48,844,-0.014428777702040797,0.07390085263132222,-0.08832963033336301,47.03791469194313,3.1990521327014214
SOLUSD,4.0,1.0,168,819,-0.02376543144681789,0.07356183271291447,-0.09732726415973235,48.22954822954823,0.0
SOLUSD,4.0,1.5,48,685,0.051792885092726136,0.07426858894104969,-0.02247570384832356,37.95620437956204,7.883211678832117
SOLUSD,4.0,1.5,168,591,0.043913104649878486,0.07216945724918479,-0.028256352599306308,41.28595600676819,0.1692047377326565
SOLUSD,4.0,2.0,48,583,0.06082395979836784,0.07429607106434846,-0.013472111265980618,29.15951972555746,12.521440823327614
SOLUSD,4.0,2.0,168,477,0.10442618958209651,0.07077708649214952,0.033649103089947015,36.477987421383645,0.20964360587002098
SOLUSD,4.0,2.5,48,540,0.06331927882589954,0.076107732535623,-0.012788453709723433,22.22222222222222,17.77777777777778
SOLUSD,4.0,2.5,168,394,0.1049408505588406,0.07021968739733708,0.034721163161503504,30.710659898477154,1.5228426395939088
SOLUSD,4.0,3.0,48,523,0.038350998754683695,0.07622135912048969,-0.03787036036580599,17.208413001912046,20.45889101338432
SOLUSD,4.0,3.0,168,354,0.021630942735523694,0.07013951319359707,-0.04850857045807335,24.576271186440678,2.2598870056497176
SOLUSD,4.0,4.0,48,497,0.05092713580777526,0.0786741966680821,-0.027747060860306854,10.46277665995976,26.156941649899395
SOLUSD,4.0,4.0,168,294,0.10433445152277344,0.07142831037526648,0.032906141147507,19.727891156462583,5.442176870748299
