symbol,family,target_r,stop_mult,gate,trades,net_r,cost_r,win_rate,gross_r,rej_cost,med_r_bps,model
BANKUSD,adx_only,2.0,2.0,0.15,48,0.07382635450671804,0.06581436272413682,0.375,0.13964071723085483,2,262.868122949042,taker/taker
BANKUSD,adx_only,2.0,4.0,0.15,20,0.2420659308761443,0.05214929624822097,0.45,0.29421522712436526,0,316.684571958206,taker/taker
BANKUSD,wpr_only,1.0,2.0,0.15,171,-0.1508477189215032,0.0718937962225839,0.45614035087719296,-0.0789539226989193,31,256.64115263394916,taker/taker
BANKUSD,wpr_only,1.0,4.0,0.15,64,-0.09168794774022117,0.048994944720062904,0.46875,-0.04269300302015825,0,398.84989272060295,taker/taker
BANKUSD,wpr_only,2.0,2.0,0.15,125,-0.196483089093483,0.07189618887461455,0.288,-0.12458690021886844,26,264.35357290375947,taker/taker
BANKUSD,wpr_only,2.0,4.0,0.15,41,0.04330901486579728,0.04804341598733912,0.36585365853658536,0.09135243085313643,0,444.14075845575644,taker/taker
BANKUSD,atr_arm,1.0,2.0,0.15,140,-0.029639429476351432,0.04556497496942619,0.5,0.015925545493074737,0,258.54648036931593,maker/taker
BANKUSD,atr_arm,1.0,4.0,0.15,51,0.05066428092471882,0.029163373491841792,0.5294117647058824,0.0798276544165606,0,405.7136340309051,maker/taker
BANKUSD,atr_arm,2.0,2.0,0.15,104,0.03769804681022137,0.04650434052130162,0.3557692307692308,0.08420238733152297,0,253.13361111130723,maker/taker
BANKUSD,atr_arm,2.0,4.0,0.15,33,0.35865923656019116,0.025694391694249658,0.45454545454545453,0.3843536282544409,0,424.9942568343682,maker/taker
BANKUSD,adx_only,1.0,2.0,0.15,57,-0.054986276159641995,0.044960716888273806,0.49122807017543857,-0.010025559271368193,1,268.1026581118234,maker/taker
BANKUSD,adx_only,1.0,4.0,0.15,23,0.03144056548530587,0.03169786941750337,0.5217391304347826,0.06313843490280925,0,389.1366031617345,maker/taker
BANKUSD,adx_only,2.0,2.0,0.15,49,0.07242766175659905,0.04393895920423837,0.3673469387755102,0.11636662096083741,1,257.63358778626065,maker/taker
BANKUSD,adx_only,2.0,4.0,0.15,20,0.260351190446723,0.03386403667764222,0.45,0.2942152271243653,0,316.684571958206,maker/taker
BANKUSD,wpr_only,1.0,2.0,0.15,185,-0.20000825807043843,0.052648344415468167,0.42162162162162165,-0.14735991365497028,1,237.2933724702617,maker/taker
BANKUSD,wpr_only,1.0,4.0,0.15,64,-0.0745087076295156,0.0318157046093573,0.46875,-0.04269300302015827,0,398.84989272060295,maker/taker
BANKUSD,wpr_only,2.0,2.0,0.15,138,-0.21331667870255241,0.05323669988732228,0.2753623188405797,-0.1600799788152301,1,232.33184312591754,maker/taker
BANKUSD,wpr_only,2.0,4.0,0.15,41,0.06015461768667442,0.031197813166461988,0.36585365853658536,0.09135243085313643,0,444.14075845575644,maker/taker
BANKUSD,atr_arm,1.0,2.0,0.097,139,-0.05254575085137103,0.044819827556214845,0.4892086330935252,-0.007725923295156209,5,259.50853028642865,maker/taker
BANKUSD,atr_arm,1.0,4.0,0.097,51,0.05066428092471882,0.029163373491841792,0.5294117647058824,0.0798276544165606,0,405.7136340309051,maker/taker
BANKUSD,atr_arm,2.0,2.0,0.097,103,-0.013793020611552747,0.04576367724527163,0.33980582524271846,0.03197065663371886,2,254.34279954941698,maker/taker
BANKUSD,atr_arm,2.0,4.0,0.097,33,0.35865923656019116,0.025694391694249658,0.45454545454545453,0.3843536282544409,0,424.9942568343682,maker/taker
BANKUSD,adx_only,1.0,2.0,0.097,55,-0.016646166321690952,0.04264840489500027,0.509090909090909,0.026002238573309334,3,274.0341419586685,maker/taker
BANKUSD,adx_only,1.0,4.0,0.097,23,0.03144056548530587,0.03169786941750337,0.5217391304347826,0.06313843490280925,0,389.1366031617345,maker/taker
BANKUSD,adx_only,2.0,2.0,0.097,48,0.09690303612011793,0.04273768111073695,0.375,0.1396407172308548,2,262.868122949042,maker/taker
BANKUSD,adx_only,2.0,4.0,0.097,20,0.260351190446723,0.03386403667764222,0.45,0.2942152271243653,0,316.684571958206,maker/taker
BANKUSD,wpr_only,1.0,2.0,0.097,171,-0.1256393878409263,0.046685465142007006,0.45614035087719296,-0.07895392269891927,31,256.64115263394916,maker/taker
BANKUSD,wpr_only,1.0,4.0,0.097,64,-0.0745087076295156,0.0318157046093573,0.46875,-0.04269300302015827,0,398.84989272060295,maker/taker
BANKUSD,wpr_only,2.0,2.0,0.097,125,-0.17127391907035866,0.04668701885149021,0.288,-0.12458690021886841,26,264.35357290375947,maker/taker
