cell,tf,conf,gates,tgt,hrs,net,pos,nblk,n,win,dd,wk,lo,hi,allsym,s_BEAT,s_AKEU,s_BANK,b0,b1,b2,b3
15/5m c=x none      1R 18-24,15/5,x,none,1.0,18-24,1.0315867784693677,1,1.0,1,1.0,0.0,0.031980202731642315,1.0315867784693677,1.0315867784693677,True,1.0315867784693677,,,,1.0315867784693677,,
15/5m c=x none      1.5R all,15/5,x,none,1.5,all,-0.5365190987520162,0,2.0,12,0.16666666666666666,5.894133086666891,0.3837624327797078,-1.0081638754730027,0.0765693263668283,False,-0.6878542986938871,0.03717436467142621,-1.0469178894873759,,-0.957501194424753,,-0.39619173352777065
15/5m c=x none      1.5R 18-24,15/5,x,none,1.5,18-24,-0.9343932752243242,0,1.0,1,0.0,0.0,0.031980202731642315,-0.9343932752243242,-0.9343932752243242,False,-0.9343932752243242,,,,-0.9343932752243242,,
15/5m c=x none      3R all,15/5,x,none,3.0,all,-0.3874169996427926,0,2.0,11,0.18181818181818182,4.102446463831834,0.35178223004806547,-0.9886950588988515,0.4096686324953117,False,-0.4887074531332493,0.06876102178313397,-1.0469178894873759,,-0.957501194424753,,-0.17363542659955747
15/5m c=x none      3R 18-24,15/5,x,none,3.0,18-24,-0.9343932752243242,0,1.0,1,0.0,0.0,0.031980202731642315,-0.9343932752243242,-0.9343932752243242,False,-0.9343932752243242,,,,-0.9343932752243242,,
15/5m c=x A25       1R all,15/5,x,A25,1.0,all,-0.6211305715155253,0,2.0,5,0.2,3.1707532504429903,0.15990101365821158,-1.1065218869389593,0.2420898935277596,False,-0.5287511178209643,-0.9906483862937698,,,-1.0071135381495182,,-0.5246348298570271
15/5m c=x A25       1R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x A25       1.5R all,15/5,x,A25,1.5,all,-0.4927513149876456,0,2.0,5,0.2,3.1707532504429903,0.15990101365821158,-1.1047574189328553,0.6271884692046031,False,-0.36827704716111453,-0.9906483862937698,,,-1.0071135381495182,,-0.36416075919717744
15/5m c=x A25       1.5R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x A25       3R all,15/5,x,A25,3.0,all,-0.09546858932996871,1,2.0,4,0.25,1.989923143084078,0.12792081092656926,-1.0031941474699133,1.711553053737714,False,0.20292467632463165,-0.9906483862937698,,,-1.0071135381495182,,0.2084130602765478
15/5m c=x A25       3R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x DI        1R all,15/5,x,DI,1.0,all,0.2906863050973419,1,1.0,3,0.6666666666666666,1.0469178894873759,0.09594060819492695,-1.0469178894873759,0.9791983650306726,False,,0.9594884023897008,-1.0469178894873759,,,,0.2906863050973419
15/5m c=x DI        1R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x DI        1.5R all,15/5,x,DI,1.5,all,0.018417863606890867,1,1.0,3,0.3333333333333333,1.0469178894873759,0.09594060819492695,-1.0469178894873759,1.4372150663543952,False,,0.5510857401540242,-1.0469178894873759,,,,0.018417863606890867
15/5m c=x DI        1.5R 18-24,,,,,,,0,,0,,,,,,,,,,,,,
15/5m c=x DI        3R all,15/5,x,DI,3.0,all,0.05000452071859862,1,1.0,3,0.3333333333333333,1.0469178894873759,0.09594060819492695,-1.0469178894873759,1.531975037689519,False,,0.5984657258215859,-1.0469178894873759,,,,0.05000452071859862
