label,trades,effective_n,deff,win_rate,gross_r,cost_r,funding_r,net_r,median_r,avg_win,avg_loss,profit_factor,sharpe,sortino,max_dd_r,ci_low,ci_high,t_net,t_gross,hold_mean,hold_median,stop_pct_mean,stop_pct_median,pct_positive_months,pct_target,pct_stop,pct_time,pct_long,percentile,min_duration,volume_mult,body_mult,target_r
percentile=0.2|min_duration=4|volume_mult=1.5|body_mult=0.75|target_r=2.0,30,28.5,1.05,0.1667,-0.3246,0.2679,0.00327,-0.5957,-1.1416,1.3547,-0.9857,0.275,-46.08,-98.407,17.04,-0.861,-0.3336,-4.325,-2.336,16.87,20.0,0.432,0.425,20.0,10.0,56.7,33.3,46.7,0.2,4,1.5,0.75,2.0
percentile=0.2|min_duration=4|volume_mult=1.5|body_mult=0.75|target_r=3.0,30,26.9,1.11,0.1667,-0.3182,0.2807,-0.00058,-0.5983,-1.1416,1.3387,-0.9857,0.272,-44.401,-96.674,17.12,-0.8714,-0.3084,-3.888,-2.045,17.63,21.0,0.432,0.425,20.0,3.3,56.7,40.0,46.7,0.2,4,1.5,0.75,3.0
percentile=0.2|min_duration=4|volume_mult=2.0|body_mult=0.25|target_r=2.0,34,34.0,1.0,0.2353,-0.2181,0.2866,0.00014,-0.5049,-1.13,1.1276,-1.0072,0.344,-39.027,-92.47,18.23,-0.8031,-0.1696,-3.097,-1.19,16.15,20.5,0.424,0.407,20.0,8.8,52.9,38.2,47.1,0.2,4,2.0,0.25,2.0
percentile=0.2|min_duration=4|volume_mult=2.0|body_mult=0.25|target_r=3.0,34,34.0,1.0,0.2353,-0.2125,0.298,-0.00325,-0.5072,-1.13,1.1177,-1.0072,0.341,-37.746,-91.17,18.23,-0.7991,-0.1835,-3.215,-1.174,16.76,21.0,0.424,0.407,20.0,2.9,52.9,44.1,47.1,0.2,4,2.0,0.25,3.0
percentile=0.2|min_duration=4|volume_mult=2.0|body_mult=0.5|target_r=2.0,33,33.0,1.0,0.2727,-0.1487,0.2903,0.00015,-0.4391,-0.8335,1.0411,-0.9942,0.393,-32.822,-75.872,15.56,-0.7511,-0.1316,-2.798,-0.858,16.88,21.0,0.418,0.392,20.0,9.1,48.5,42.4,42.4,0.2,4,2.0,0.5,2.0
percentile=0.2|min_duration=4|volume_mult=2.0|body_mult=0.5|target_r=3.0,33,33.0,1.0,0.2727,-0.1429,0.302,-0.00335,-0.4415,-0.8335,1.0323,-0.9942,0.389,-31.771,-74.889,15.56,-0.7423,-0.151,-2.92,-0.844,17.52,22.0,0.418,0.392,20.0,3.0,48.5,48.5,42.4,0.2,4,2.0,0.5,3.0
percentile=0.2|min_duration=4|volume_mult=2.0|body_mult=0.75|target_r=2.0,26,23.7,1.1,0.1923,-0.3163,0.2693,0.00018,-0.5859,-1.1324,1.1043,-0.9883,0.266,-47.04,-98.818,16.2,-0.9187,-0.2671,-3.382,-1.83,17.0,21.0,0.434,0.425,20.0,7.7,53.8,38.5,46.2,0.2,4,2.0,0.75,2.0
percentile=0.2|min_duration=4|volume_mult=2.0|body_mult=0.75|target_r=3.0,26,23.1,1.12,0.1923,-0.3475,0.2842,-0.00425,-0.6274,-1.1324,0.8884,-0.9883,0.214,-55.06,-103.731,16.2,-0.9268,-0.3414,-3.934,-2.139,17.69,21.5,0.434,0.425,20.0,0.0,53.8,46.2,46.2,0.2,4,2.0,0.75,3.0
percentile=0.2|min_duration=6|volume_mult=1.0|body_mult=0.25|target_r=2.0,17,17.0,1.0,0.3529,0.0479,0.257,-0.00356,-0.2055,-0.6334,1.2276,-0.9872,0.678,-13.612,-40.891,3.89,-0.5853,0.1632,-1.091,0.264,17.06,21.0,0.405,0.392,40.0,11.8,41.2,47.1,47.1,0.2,6,1.0,0.25,2.0
percentile=0.2|min_duration=6|volume_mult=1.0|body_mult=0.25|target_r=3.0,17,17.0,1.0,0.3529,0.0837,0.2707,-0.01034,-0.1767,-0.6334,1.3094,-0.9872,0.723,-10.537,-33.886,4.18,-0.6071,0.2455,-0.825,0.404,18.35,23.0,0.405,0.392,60.0,5.9,41.2,52.9,47.1,0.2,6,1.0,0.25,3.0
percentile=0.2|min_duration=6|volume_mult=1.0|body_mult=0.5|target_r=2.0,16,16.0,1.0,0.375,0.1248,0.2453,-0.00332,-0.1172,-0.5928,1.2803,-0.9557,0.804,-7.379,-22.491,2.59,-0.4871,0.2372,-0.657,0.722,17.75,21.0,0.413,0.407,40.0,18.8,37.5,43.8,43.8,0.2,6,1.0,0.5,2.0
percentile=0.2|min_duration=6|volume_mult=1.0|body_mult=0.5|target_r=3.0,16,16.0,1.0,0.375,0.1333,0.2669,-0.01052,-0.1231,-0.5928,1.2646,-0.9557,0.794,-7.263,-22.685,2.88,-0.5056,0.2533,-0.647,0.708,19.25,23.0,0.413,0.407,40.0,6.2,37.5,56.2,43.8,0.2,6,1.0,0.5,3.0
percentile=0.2|min_duration=6|volume_mult=1.0|body_mult=0.75|target_r=2.0,12,12.0,1.0,0.4167,0.2799,0.2425,-0.00442,0.0418,-0.5928,1.4615,-0.9722,1.074,2.403,10.662,2.31,-0.3209,0.4081,0.241,1.654,18.42,21.0,0.408,0.369,60.0,25.0,33.3,41.7,50.0,0.2,6,1.0,0.75,2.0
percentile=0.2|min_duration=6|volume_mult=1.0|body_mult=0.75|target_r=3.0,12,12.0,1.0,0.4167,0.2913,0.2713,-0.01403,0.034,-0.5928,1.4426,-0.9722,1.06,1.799,8.22,2.31,-0.3317,0.4095,0.178,1.511,20.42,23.0,0.408,0.369,80.0,8.3,33.3,58.3,50.0,0.2,6,1.0,0.75,3.0
percentile=0.2|min_duration=6|volume_mult=1.5|body_mult=0.25|target_r=2.0,13,13.0,1.0,0.3077,-0.0247,0.2502,0.0,-0.2749,-0.8225,1.3376,-0.9916,0.6,-18.178,-53.458,3.69,-0.6708,0.0999,-1.434,-0.133,16.69,21.0,0.407,0.392,20.0,15.4,46.2,38.5,38.5,0.2,6,1.5,0.25,2.0
percentile=0.2|min_duration=6|volume_mult=1.5|body_mult=0.25|target_r=3.0,13,13.0,1.0,0.3077,0.0221,0.2681,-0.00887,-0.2372,-0.8225,1.4602,-0.9916,0.655,-13.678,-43.945,3.69,-0.6679,0.2036,-1.089,0.105,18.38,21.0,0.407,0.392,40.0,7.7,46.2,46.2,38.5,0.2,6,1.5,0.25,3.0
percentile=0.2|min_duration=6|volume_mult=1.5|body_mult=0.5|target_r=2.0,13,13.0,1.0,0.3077,-0.0247,0.2502,0.0,-0.2749,-0.8225,1.3376,-0.9916,0.6,-18.178,-53.458,3.69,-0.6708,0.0999,-1.434,-0.133,16.69,21.0,0.407,0.392,20.0,15.4,46.2,38.5,38.5,0.2,6,1.5,0.5,2.0
