label,trades,family,swing_n,struct_tf,exec_tf,trigger,grid,signals,skipped_stop,skipped_size,effective_n,symbols,win_rate,gross_r,median_r,median_gross_r,fee_r,slip_r,funding_r,cost_r,net_r,gross_total_r,net_total_r,profit_factor,pf_gross,max_dd_r,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,hold_median_min,trades_per_day,p_hit_05r,p_hit_1r,p_hit_2r,conf_delay_bars_median,conf_delay_min_median,signal_lag_min_median,disp_atr_median,break_dist_atr_median,bars_between_swings_median,mfe_r_median,t_gross,t_net,gross_ci_low,gross_ci_high,net_ci_low,net_ci_high
B|N2|5m->15m|oneshot,7714,B,2,5,15,oneshot,mtf,13573,821,0,6666.0,4,0.3181,0.0485,-1.2614,-1.0,1.0392,0.3523,-0.00296,1.3885,-1.34,374.0,-10336.5,0.258,1.075,10335.8,0.3408,28.638,0.0,34.9,65.1,0.9,32.0,21.86,0.6585,0.5113,0.3495,2.0,10.0,25.0,1.116,-1.08,3.0,1.109,2.729,-10.862,0.0162,0.0808,-1.5802,-1.1161
B|N2|5m->15m|level,8740,B,2,5,15,level,mtf,50347,3638,0,6860.8,4,0.307,0.0322,-1.2569,-1.0,1.1908,0.4037,-0.00273,1.5917,-1.5596,281.0,-13630.8,0.225,1.049,13629.4,0.3411,49.508,0.0,34.4,65.6,1.2,31.0,24.76,0.6412,0.4969,0.3441,2.0,10.0,30.0,1.068,-1.069,3.0,1.067,1.886,-12.144,0.0037,0.0627,-1.7927,-1.3511
B|N2|15m->5m|oneshot,2917,B,2,15,5,oneshot,mtf,4631,147,0,2543.4,4,0.3384,0.0531,-1.1574,-1.0,0.4508,0.1528,-0.00305,0.6006,-0.5474,155.0,-1596.9,0.502,1.082,1598.6,0.5579,11.302,0.0,35.1,64.9,0.3,80.0,8.27,0.6781,0.5153,0.351,2.0,30.0,45.0,1.067,-1.094,3.0,1.089,1.982,-9.216,0.0048,0.1025,-0.6581,-0.4422
B|N2|15m->5m|level,3573,B,2,15,5,level,mtf,40461,2594,0,3573.0,4,0.3151,0.0235,-1.1561,-1.0,0.9122,0.3092,-0.00246,1.2189,-1.1954,84.0,-4271.2,0.297,1.036,4276.9,0.5303,51.847,0.0,34.1,65.9,1.1,72.0,10.13,0.6588,0.5055,0.3412,2.0,30.0,75.0,0.975,-1.077,3.0,1.087,1.02,-9.504,-0.0202,0.0688,-1.4634,-0.9738
B|N3|5m->15m|oneshot,5483,B,3,5,15,oneshot,mtf,9691,550,0,5283.5,4,0.325,0.0604,-1.2226,-1.0,0.7711,0.2614,-0.00236,1.0301,-0.9698,331.0,-5317.1,0.337,1.093,5315.3,0.39,17.064,0.0,35.3,64.7,0.5,44.0,15.54,0.6642,0.5094,0.3535,3.0,15.0,30.0,1.369,-1.296,5.0,1.061,3.096,-12.839,0.0232,0.0948,-1.1227,-0.8334
B|N3|5m->15m|level,6327,B,3,5,15,level,mtf,46653,3055,0,5568.5,4,0.3099,0.036,-1.2174,-1.0,1.0527,0.3569,-0.0031,1.4065,-1.3704,228.0,-8670.7,0.255,1.055,8668.9,0.3839,39.029,0.0,34.5,65.5,1.2,41.0,17.93,0.6564,0.5013,0.3453,3.0,15.0,40.0,1.261,-1.273,4.0,1.072,1.873,-13.695,0.0009,0.0716,-1.5532,-1.1931
B|N3|15m->5m|oneshot,2091,B,3,15,5,oneshot,mtf,3321,137,0,1700.7,4,0.3443,0.0732,-1.1258,-1.0,0.4768,0.1616,-0.0031,0.6354,-0.5622,153.0,-1175.5,0.507,1.114,1181.7,0.6719,8.683,0.0,35.8,64.2,0.1,113.0,5.93,0.6815,0.527,0.3577,3.0,45.0,60.0,1.29,-1.342,5.0,1.14,2.288,-6.683,0.0172,0.1291,-0.7307,-0.4251
B|N3|15m->5m|level,2762,B,3,15,5,level,mtf,39897,2753,0,2762.0,4,0.3161,0.0362,-1.1348,-1.0,1.1645,0.3948,-0.00243,1.5569,-1.5207,100.0,-4200.0,0.252,1.055,4209.7,0.5715,43.0,0.0,34.5,65.5,1.2,84.5,7.83,0.6499,0.5058,0.3454,3.0,45.0,105.0,1.192,-1.379,4.5,1.1,1.396,-6.789,-0.0159,0.0862,-2.0309,-1.1282
B|N5|5m->15m|oneshot,3769,B,5,5,15,oneshot,mtf,6320,301,0,2922.8,4,0.3332,0.0491,-1.182,-1.0,0.5406,0.1832,-0.00231,0.7215,-0.6724,185.0,-2534.4,0.441,1.075,2536.7,0.4918,14.7,0.0,35.0,65.0,0.4,63.0,10.68,0.6593,0.5099,0.3497,5.0,25.0,40.0,1.685,-1.723,8.0,1.07,1.848,-11.184,0.0013,0.096,-0.7827,-0.5707
B|N5|5m->15m|level,4627,B,5,5,15,level,mtf,44433,3115,0,4627.0,4,0.3104,0.0322,-1.189,-1.0,1.0311,0.3495,-0.00189,1.3788,-1.3466,149.0,-6230.6,0.265,1.049,6232.0,0.4497,42.816,0.0,34.4,65.6,1.4,52.0,13.11,0.6492,0.5012,0.3441,5.0,25.0,60.0,1.569,-1.769,7.0,1.095,1.546,-13.441,-0.0074,0.0724,-1.5543,-1.1597
B|N5|15m->5m|oneshot,1433,B,5,15,5,oneshot,mtf,2076,111,0,1105.9,4,0.3461,0.0656,-1.104,-1.0,0.287,0.0973,-0.00087,0.3834,-0.3178,94.0,-455.4,0.651,1.102,455.8,0.7996,5.845,0.0,35.5,64.5,0.2,187.0,4.07,0.695,0.5164,0.3552,5.0,75.0,90.0,1.615,-1.693,8.0,1.124,1.648,-6.547,-0.0014,0.1326,-0.4026,-0.2363
