label,trades,symbol,family,swing_n,struct_tf,exec_tf,trigger,grid,candidate,split,effective_n,symbols,win_rate,gross_r,median_r,median_gross_r,fee_r,slip_r,funding_r,cost_r,net_r,gross_total_r,net_total_r,profit_factor,pf_gross,max_dd_r,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,hold_median_min,trades_per_day,p_hit_05r,p_hit_1r,p_hit_2r,conf_delay_bars_median,conf_delay_min_median,signal_lag_min_median,disp_atr_median,break_dist_atr_median,bars_between_swings_median,mfe_r_median,t_gross,t_net,gross_ci_low,gross_ci_high,net_ci_low,net_ci_high
C|N2|5m->15m|oneshot|BTCUSD,1555,BTCUSD,C,2,5,15,oneshot,mtf,C|N2|5m->15m|oneshot,train,1382.7,1,0.3267,0.0051,-1.2659,-1.0,0.4858,0.1647,0.00088,0.6514,-0.6463,8.0,-1004.9,0.427,1.008,1003.6,0.3705,126.618,50.2,33.5,66.5,0.3,85.0,4.44,0.6695,0.5151,0.335,2.0,10.0,25.0,0.933,0.444,3.0,1.084,0.122,-9.829,-0.0721,0.0804,-0.7759,-0.5307
C|N2|5m->15m|oneshot|ETHUSD,1519,ETHUSD,C,2,5,15,oneshot,mtf,C|N2|5m->15m|oneshot,train,1519.0,1,0.3469,0.0546,-1.1502,-1.0,0.3033,0.1028,-0.00039,0.4057,-0.3511,83.0,-533.3,0.624,1.084,531.8,0.6335,7.425,50.0,35.2,64.8,0.2,88.0,4.31,0.6682,0.5109,0.3509,2.0,10.0,30.0,0.938,0.43,3.0,1.06,1.478,-6.512,-0.0145,0.1257,-0.4599,-0.247
C|N2|5m->15m|oneshot|SOLUSD,1750,SOLUSD,C,2,5,15,oneshot,mtf,C|N2|5m->15m|oneshot,train,1750.0,1,0.3394,0.0251,-1.1312,-1.0,0.263,0.0892,9e-05,0.3523,-0.3271,44.0,-572.5,0.643,1.038,571.1,0.7467,14.011,49.5,34.2,65.8,0.2,84.5,4.96,0.6674,0.5149,0.3417,2.0,10.0,25.0,0.903,0.428,3.0,1.087,0.753,-4.57,-0.04,0.0886,-0.4896,-0.2125
C|N2|5m->15m|oneshot|XRPUSD,1757,XRPUSD,C,2,5,15,oneshot,mtf,C|N2|5m->15m|oneshot,train,1757.0,1,0.3136,-0.0438,-1.1498,-1.0,0.3005,0.1019,0.00042,0.4028,-0.4466,-77.0,-784.7,0.548,0.936,789.9,0.6761,,49.7,31.9,68.1,0.1,92.0,4.98,0.6596,0.5077,0.3187,2.0,10.0,30.0,0.964,0.433,3.0,1.034,-1.292,-7.631,-0.1088,0.0228,-0.5682,-0.3375
C|N2|5m->15m|level|BTCUSD,1241,BTCUSD,C,2,5,15,level,mtf,C|N2|5m->15m|level,train,1241.0,1,0.3199,-0.021,-1.2312,-1.0,0.6045,0.2049,0.00073,0.8102,-0.8312,-26.0,-1031.5,0.371,0.969,1030.1,0.4211,,50.7,32.6,67.4,0.3,102.0,3.54,0.6761,0.494,0.3263,2.0,10.0,30.0,0.903,0.916,3.0,0.986,-0.511,-3.009,-0.0984,0.0565,-1.4441,-0.4822
C|N2|5m->15m|level|ETHUSD,1271,ETHUSD,C,2,5,15,level,mtf,C|N2|5m->15m|level,train,987.2,1,0.3462,0.048,-1.1261,-1.0,0.2319,0.0786,0.00037,0.3108,-0.2628,61.0,-334.1,0.692,1.074,337.4,0.7376,6.477,47.8,34.9,65.1,0.0,109.0,3.61,0.6861,0.5224,0.3478,2.0,10.0,30.0,0.82,0.803,3.0,1.069,0.977,-4.734,-0.037,0.1306,-0.3566,-0.1671
C|N2|5m->15m|level|SOLUSD,1496,SOLUSD,C,2,5,15,level,mtf,C|N2|5m->15m|level,train,1453.0,1,0.3583,0.0769,-1.1036,-1.0,0.1891,0.0641,0.00034,0.2536,-0.1767,115.0,-264.3,0.78,1.12,263.0,0.8338,3.299,50.5,35.9,64.1,0.1,98.5,4.24,0.6631,0.5241,0.359,2.0,10.0,30.0,0.848,0.857,3.0,1.119,2.119,-4.617,0.0067,0.1471,-0.25,-0.0999
C|N2|5m->15m|level|XRPUSD,1500,XRPUSD,C,2,5,15,level,mtf,C|N2|5m->15m|level,train,1500.0,1,0.3447,0.052,-1.1167,-1.0,0.2716,0.0921,-0.0003,0.3633,-0.3113,78.0,-467.0,0.661,1.08,486.8,0.7977,6.987,50.4,35.1,64.9,0.1,103.0,4.26,0.6627,0.524,0.35,2.0,10.0,30.0,0.908,0.912,3.0,1.115,1.394,-4.899,-0.02,0.13,-0.4443,-0.1972
C|N2|15m->5m|oneshot|BTCUSD,554,BTCUSD,C,2,15,5,oneshot,mtf,C|N2|15m->5m|oneshot,train,553.6,1,0.352,0.056,-1.1393,-1.0,0.2092,0.0709,0.00103,0.2811,-0.2251,31.0,-124.7,0.73,1.086,139.8,0.682,5.024,49.8,35.2,64.8,0.0,247.5,1.57,0.6787,0.4982,0.3502,2.0,30.0,60.0,0.795,0.376,3.0,0.987,1.093,-4.029,-0.0415,0.1588,-0.3339,-0.1166
C|N2|15m->5m|oneshot|ETHUSD,644,ETHUSD,C,2,15,5,oneshot,mtf,C|N2|15m->5m|oneshot,train,575.7,1,0.3416,0.0248,-1.0918,-1.0,0.1198,0.0406,3e-05,0.1604,-0.1356,16.0,-87.3,0.823,1.038,97.2,1.1625,6.458,50.0,34.2,65.8,0.2,231.5,1.83,0.646,0.5,0.3416,2.0,30.0,60.0,0.86,0.366,3.0,1.002,0.414,-2.127,-0.0823,0.1413,-0.2526,-0.0153
